TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
1.39422e+06 0.128024 679 2469
1.38784e+06 0.138416 656 2208
1.43632e+06 0.145845 670 2032
1.45027e+06 0.147381 668 2071
1.42546e+06 0.138051 671 2185
1.42332e+06 0.148862 661 2123
1.44648e+06 0.138112 690 2316
1.41943e+06 0.137952 704 2925
1.53277e+06 0.146468 723 3102
1.59516e+06 0.143581 747 2670
1.52477e+06 0.138009 712 3244
1.4185e+06 0.12788 673 2193
1.39331e+06 0.132707 668 2583
1.43431e+06 0.136757 674 2399
1.50085e+06 0.142457 683 2361
1.46349e+06 0.138112 701 2280
1.49658e+06 0.144868 722 2897
1.44178e+06 0.146061 663 2178
1.32114e+06 0.14824 645 2170
1.39858e+06 0.136123 670 2192
1.42345e+06 0.132318 686 2032
1.42738e+06 0.14319 669 1949
1.4308e+06 0.1331 687 2461
1.38705e+06 0.133977 688 2268
1.48924e+06 0.141975 676 2884
1.43086e+06 0.144868 676 2157
1.44532e+06 0.130662 695 2335
1.33191e+06 0.135233 652 2251
1.48837e+06 0.132911 712 2473
1.4728e+06 0.137931 694 3064
1.42728e+06 0.134513 693 2856
1.39477e+06 0.139248 661 2054
1.4866e+06 0.143599 699 2315
1.52541e+06 0.153073 681 2013
1.42195e+06 0.149652 653 2043
1.49838e+06 0.151209 672 2291
1.53378e+06 0.143519 735 2792
1.39897e+06 0.127501 654 2033
1.48941e+06 0.133449 716 2675
1.52534e+06 0.149633 696 2316
1.42473e+06 0.144643 687 2350
1.43378e+06 0.138745 668 2153
1.37656e+06 0.134785 656 1984
1.37202e+06 0.149024 638 2013
1.41455e+06 0.150474 668 2251
1.45423e+06 0.142455 656 2189
1.36918e+06 0.134884 639 2047
1.47206e+06 0.150879 663 2030
1.51287e+06 0.145072 674 2386
1.36837e+06 0.126531 653 1995
1.51704e+06 0.157925 690 2050
1.58966e+06 0.150964 711 2462
1.42583e+06 0.134311 687 2688
1.3273e+06 0.128005 650 2345
1.44215e+06 0.134516 674 1950
1.42559e+06 0.143962 688 2328
1.48375e+06 0.152981 660 2127
1.42575e+06 0.144752 657 2411
1.51668e+06 0.145609 699 1981
1.49767e+06 0.13478 708 2515
1.40422e+06 0.138561 672 2395
1.46815e+06 0.143672 675 2155
1.40343e+06 0.128788 673 2300
1.44732e+06 0.136337 684 2580
1.45755e+06 0.152464 673 2157
1.48535e+06 0.139292 710 2664
1.64832e+06 0.129983 826 4166
1.45717e+06 0.140982 673 1956
1.45347e+06 0.157503 652 1782
1.37801e+06 0.133811 672 2429
1.54011e+06 0.138558 726 2795
1.39052e+06 0.140727 670 1929
1.6321e+06 0.15287 738 3182
1.43563e+06 0.129794 705 2171
1.53594e+06 0.133641 744 2646
1.36924e+06 0.142264 648 2033
1.266e+06 0.139951 615 1830
1.46321e+06 0.140331 677 2355
1.34524e+06 0.129509 646 2033
1.42463e+06 0.127771 689 2751
1.43017e+06 0.143183 651 1820
1.44434e+06 0.154904 692 2424
1.56152e+06 0.140976 702 2586
1.40421e+06 0.127411 678 2528
1.40223e+06 0.151642 665 1974
1.4124e+06 0.156491 659 2261
1.60531e+06 0.139899 752 2792
1.45246e+06 0.123858 692 2121
1.40834e+06 0.140944 659 1915
1.48168e+06 0.147962 658 2159
1.39674e+06 0.146081 663 2555
1.64502e+06 0.142534 786 4232
1.49153e+06 0.151826 681 2238
1.45881e+06 0.152493 686 2216
1.48459e+06 0.145003 698 2042
1.38079e+06 0.129802 655 2156
1.3609e+06 0.136391 654 2797
1.41707e+06 0.15055 647 2077
1.48908e+06 0.132318 730 2317
1.42312e+06 0.13439 685 2407
1.40628e+06 0.160933 632 1955
1.46683e+06 0.129673 716 2444
1.4538e+06 0.134659 674 2777
1.35867e+06 0.157485 629 2165
1.34366e+06 0.131167 659 2488
1.35668e+06 0.136657 637 2241
1.64658e+06 0.131623 785 2851
1.57945e+06 0.148783 712 2455
1.3611e+06 0.145411 643 2142
1.46495e+06 0.150029 665 2066
1.4307e+06 0.145038 677 3325
1.39266e+06 0.131378 668 2136
1.44669e+06 0.147417 674 2373
1.47297e+06 0.145274 699 2337
1.38531e+06 0.126524 660 2036
1.46959e+06 0.146941 675 2334
1.42154e+06 0.135831 680 2089
1.42387e+06 0.130029 685 2136
1.44489e+06 0.142199 671 2207
1.37548e+06 0.138095 661 2523
1.43054e+06 0.133955 684 3022
1.7198e+06 0.145993 798 2882
1.55755e+06 0.143809 708 2404
1.62736e+06 0.147478 735 2534
1.37659e+06 0.133295 648 2185
1.50918e+06 0.147344 700 2957
1.35905e+06 0.141003 638 1870
1.39445e+06 0.146028 646 2250
1.50277e+06 0.133106 710 2129
1.35358e+06 0.132938 650 2033
1.49794e+06 0.154339 703 2356
1.34711e+06 0.12515 665 2454
