TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
1.69868e+06 0.040118 969 3488
1.62342e+06 0.0533724 904 3034
1.84087e+06 0.0598489 1023 3596
1.89596e+06 0.0472078 1057 3602
1.75914e+06 0.0429234 986 2893
1.73358e+06 0.0426153 977 6256
1.88534e+06 0.0454545 1065 3193
1.79551e+06 0.0325301 1058 4592
1.97955e+06 0.0545663 1099 4584
2.7235e+06 0.0484234 1520 6355
1.90231e+06 0.0463801 1041 3528
1.76399e+06 0.046659 978 3359
1.77298e+06 0.0416911 1008 2934
1.83795e+06 0.050202 1022 4018
2.04022e+06 0.0454291 1113 3979
1.86353e+06 0.0413753 1055 3231
1.99094e+06 0.0533724 1132 4623
1.78898e+06 0.0465785 991 2890
1.65222e+06 0.0475602 982 3034
1.77467e+06 0.0430171 1012 3222
1.90246e+06 0.0392272 1086 3548
1.87254e+06 0.048312 1054 4074
1.70783e+06 0.0496206 955 2676
1.70354e+06 0.0488835 989 2811
2.06493e+06 0.0533109 1123 3668
1.87184e+06 0.0416422 1067 3664
1.94162e+06 0.0441347 1097 4762
1.57764e+06 0.0394178 922 3154
1.93876e+06 0.0448792 1084 4266
1.79038e+06 0.0505747 988 2825
1.76954e+06 0.0430678 1010 3158
2.19672e+06 0.0370153 1271 5671
1.99273e+06 0.0570934 1110 3319
2.03785e+06 0.0597765 1097 3654
1.8442e+06 0.0458237 1035 4019
2.0029e+06 0.0472175 1093 3983
1.9602e+06 0.0405093 1106 3600
1.71578e+06 0.049171 939 2694
1.98239e+06 0.0381282 1119 4016
2.15185e+06 0.0474308 1186 4131
1.67497e+06 0.0488095 956 2578
2.00321e+06 0.0495107 1120 3720
1.82992e+06 0.0400235 1047 3547
1.64692e+06 0.0443525 936 3132
1.86449e+06 0.049763 1068 6023
1.93799e+06 0.053491 1051 3367
1.68988e+06 0.0482558 941 2773
2.01891e+06 0.0516166 1110 4252
2.11636e+06 0.0448505 1143 7151
1.73728e+06 0.038484 982 3637
2.08696e+06 0.0575827 1153 4363
