TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
1.56542e+06 0.0501475 877 2801
1.54622e+06 0.055132 855 2595
1.7295e+06 0.0674027 948 3019
1.8783e+06 0.0564191 1039 3995
1.66854e+06 0.0469838 927 3449
1.70654e+06 0.0472855 956 3334
1.84821e+06 0.0571096 1033 3864
1.64133e+06 0.0427711 953 3124
1.74708e+06 0.0608846 952 3029
2.10833e+06 0.0602477 1148 4078
1.92116e+06 0.0486425 1050 3735
1.63028e+06 0.0576037 887 2851
1.60934e+06 0.0510863 899 2880
1.66224e+06 0.0559723 909 2524
1.90588e+06 0.053281 1028 3598
1.7601e+06 0.0512821 984 3336
1.76347e+06 0.0651026 981 3245
1.78475e+06 0.0552041 981 3368
1.5622e+06 0.0592959 912 2835
1.71358e+06 0.0506777 968 3058
1.63546e+06 0.0474239 916 2646
1.82364e+06 0.0535506 1020 3375
1.66412e+06 0.0548745 923 3352
1.58645e+06 0.053108 910 3153
1.89032e+06 0.0600449 1014 3707
1.73647e+06 0.0480938 979 3589
1.7216e+06 0.0493612 958 3326
1.42508e+06 0.0491207 816 2376
1.73667e+06 0.0489068 958 3593
1.72538e+06 0.0586207 941 2833
1.73523e+06 0.0501475 983 3483
1.74703e+06 0.0470035 988 3111
1.87775e+06 0.0582468 1039 3470
2.00181e+06 0.0642458 1072 4032
1.88514e+06 0.0580046 1050 4581
1.8521e+06 0.0562114 996 3375
1.83689e+06 0.0543981 1021 4576
1.63138e+06 0.0554603 882 2589
1.85548e+06 0.044483 1038 3964
1.89485e+06 0.0502541 1031 4212
1.55919e+06 0.0565476 876 2615
1.84608e+06 0.0558434 1019 3319
1.65748e+06 0.0500294 932 2797
1.58637e+06 0.0490834 894 2921
1.66988e+06 0.0592417 938 2846
1.85956e+06 0.0579955 1001 3180
1.59997e+06 0.0575581 877 2591
1.83505e+06 0.060692 992 3133
1.8536e+06 0.0548173 982 3049
1.56335e+06 0.0437318 871 3129
2.0415e+06 0.0632839 1121 4963
2.20356e+06 0.0600551 1177 4098
1.67422e+06 0.0504399 939 2713
1.56011e+06 0.0432692 899 2976
1.75429e+06 0.0520893 961 3379
1.68106e+06 0.0571089 952 2826
1.86276e+06 0.0618673 998 3574
1.6572e+06 0.0524798 909 2886
1.99813e+06 0.0640227 1087 3248
1.89315e+06 0.0474015 1046 3312
1.68763e+06 0.053066 950 3217
1.7273e+06 0.0661345 927 2653
1.60777e+06 0.0454545 896 3539
1.6578e+06 0.0508377 913 3128
1.74079e+06 0.0527536 965 2762
1.69173e+06 0.0539756 935 3259
1.73476e+06 0.05026 960 3387
1.79679e+06 0.0559361 980 2886
2.01139e+06 0.0555556 1114 4006
1.70797e+06 0.0549582 975 3363
1.72856e+06 0.0579216 931 2998
1.66312e+06 0.053071 947 3288
1.93658e+06 0.0689845 1015 3197
1.6964e+06 0.0566372 953 3252
1.77753e+06 0.0552995 979 3431
1.48687e+06 0.0604624 822 2768
1.46232e+06 0.0437731 860 2271
1.81631e+06 0.0524815 994 3452
1.57771e+06 0.0461266 891 2596
1.67775e+06 0.0519253 934 2797
1.91883e+06 0.0598973 1050 3519
1.89214e+06 0.062201 1088 4022
2.02415e+06 0.0575974 1068 3129
1.73758e+06 0.0572764 968 3658
1.75019e+06 0.0662687 991 3155
1.73844e+06 0.0681683 974 4101
1.95415e+06 0.0531617 1054 3486
1.60895e+06 0.043379 878 2356
1.67625e+06 0.0529994 930 3712
2.06764e+06 0.0580681 1115 4496
1.60666e+06 0.0516627 908 2771
2.15821e+06 0.0599548 1184 4467
1.73127e+06 0.0605023 936 3165
1.77008e+06 0.0639296 986 3176
1.8775e+06 0.0571924 1041 3661
1.56492e+06 0.0523865 862 2550
1.54798e+06 0.0518166 874 4117
1.71847e+06 0.0654314 939 3503
1.64702e+06 0.0509368 920 2868
1.61119e+06 0.0545775 896 2981
1.67341e+06 0.0670554 917 2640
1.61842e+06 0.0484813 902 2775
1.82256e+06 0.0528409 993 3120
1.64146e+06 0.0622755 929 2892
1.49928e+06 0.0541516 851 3112
1.54768e+06 0.0527859 858 2533
1.9609e+06 0.0529838 1054 3889
2.02106e+06 0.0580752 1076 4321
1.63723e+06 0.0542312 929 2490
1.83109e+06 0.0564746 999 3169
1.68108e+06 0.0528479 942 3097
1.6535e+06 0.0527859 924 2760
1.7713e+06 0.0481718 989 4013
1.70586e+06 0.0571762 947 2914
1.69229e+06 0.0504933 939 3323
1.8351e+06 0.0640366 998 3473
1.65608e+06 0.0503513 926 3612
1.62746e+06 0.0489796 905 2513
1.79749e+06 0.0483592 996 3372
1.63454e+06 0.0529762 927 2638
1.63623e+06 0.0512522 907 2880
