TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
1.64219e+06 0.0460177 929 2952
1.5791e+06 0.0580645 872 2816
1.84225e+06 0.0644974 1020 3448
1.84731e+06 0.0523892 1023 3421
2.13325e+06 0.0446636 1211 5138
1.87976e+06 0.0478692 1062 3540
1.84104e+06 0.0472028 1037 4485
1.72764e+06 0.0391566 1010 3654
1.92928e+06 0.0597358 1064 3675
2.28263e+06 0.0506757 1258 4357
2.20255e+06 0.0452489 1220 5155
1.93111e+06 0.0524194 1075 4138
1.64824e+06 0.0440399 930 3025
1.92991e+06 0.0525101 1076 3430
2.4209e+06 0.0510376 1334 6519
1.81976e+06 0.0472028 1024 3225
2.06095e+06 0.0615836 1170 3665
1.81969e+06 0.0477286 1009 3998
1.50463e+06 0.0555899 878 2933
1.74197e+06 0.0459635 989 3561
1.82758e+06 0.04274 1038 3585
1.90316e+06 0.0506403 1071 3561
1.67745e+06 0.0502043 936 3623
1.70887e+06 0.044659 996 3345
1.92351e+06 0.0482604 1043 3610
1.80266e+06 0.0469208 1021 3318
1.85262e+06 0.0487805 1039 3892
1.63784e+06 0.0491207 952 2876
1.96208e+06 0.0483314 1095 4224
2.1972e+06 0.0528736 1233 4443
1.82261e+06 0.0436578 1042 2879
1.7916e+06 0.046416 1016 3018
2.046e+06 0.0524798 1146 4753
2.13097e+06 0.0592179 1152 3437
1.75984e+06 0.0562645 974 3576
1.91528e+06 0.0517144 1037 3207
1.81211e+06 0.0515046 1008 3579
1.74985e+06 0.053745 955 2659
1.91992e+06 0.0410168 1080 3940
2.0242e+06 0.0502541 1108 3451
1.63264e+06 0.0547619 924 3077
1.82937e+06 0.0495107 1014 4069
1.8625e+06 0.0429665 1065 4457
1.68868e+06 0.0502661 956 3804
1.75423e+06 0.05391 996 3408
2.00963e+06 0.0551802 1093 3652
1.75954e+06 0.0534884 979 2863
2.63755e+06 0.0516166 1480 6324
1.94809e+06 0.0537099 1038 3449
1.62611e+06 0.0408163 912 2646
1.91578e+06 0.054732 1051 3445
2.14096e+06 0.0517906 1146 3221
1.71506e+06 0.0439883 969 3413
1.51808e+06 0.0456731 870 2694
1.82654e+06 0.0497997 1006 2955
1.95716e+06 0.0481856 1132 4435
1.9137e+06 0.0534308 1036 3092
1.83193e+06 0.0490196 1018 4254
2.02326e+06 0.0572238 1107 3320
1.94095e+06 0.044546 1076 3778
1.86991e+06 0.0471698 1068 3499
1.81796e+06 0.0535918 993 3367
1.63323e+06 0.0390443 917 3047
1.73299e+06 0.0462161 963 3067
1.93566e+06 0.0527536 1085 3604
1.70061e+06 0.0551364 940 3401
2.05545e+06 0.0450607 1159 4857
1.89324e+06 0.048516 1044 3897
1.93664e+06 0.0544101 1070 4155
1.72193e+06 0.0519713 986 3030
1.92908e+06 0.0550823 1055 3548
1.69234e+06 0.0494931 968 2753
2.18214e+06 0.0596026 1167 5126
1.86146e+06 0.0454277 1065 3499
2.00744e+06 0.0506912 1122 4233
1.6043e+06 0.056313 900 2709
1.49734e+06 0.040074 887 2305
1.87727e+06 0.0473474 1035 3978
1.70934e+06 0.0425784 976 3756
1.84348e+06 0.046091 1041 3195
1.90626e+06 0.0473474 1052 3313
1.907e+06 0.0645933 1095 4455
2.93048e+06 0.0510148 1598 6141
1.85098e+06 0.0508475 1043 3018
1.71751e+06 0.0614925 975 3118
1.72781e+06 0.0628334 972 3050
2.63448e+06 0.0464466 1459 5916
1.78988e+06 0.0393836 990 2830
1.72353e+06 0.0448457 967 3128
1.99543e+06 0.0491346 1079 3142
1.68463e+06 0.0421615 965 3287
2.35856e+06 0.0554299 1307 4755
1.89173e+06 0.0570776 1036 3113
1.95202e+06 0.058651 1104 4294
1.86425e+06 0.0479492 1041 2839
1.68113e+06 0.0419092 943 2565
1.67436e+06 0.0541989 951 2836
1.90631e+06 0.0567458 1062 2924
1.79694e+06 0.0456674 1016 3931
1.8211e+06 0.0498826 1030 3883
1.81328e+06 0.0623907 1008 3806
1.69552e+06 0.0426402 954 3290
1.9708e+06 0.0494318 1085 3456
1.73545e+06 0.0532934 996 3255
1.60828e+06 0.0475331 926 3038
1.66592e+06 0.0486804 935 2932
2.24371e+06 0.0501952 1223 5247
2.11029e+06 0.0591814 1128 4319
1.79606e+06 0.0500596 1032 3228
1.86716e+06 0.0484883 1028 3009
1.77264e+06 0.0487375 1002 3649
1.72583e+06 0.0492669 971 2755
1.84331e+06 0.0464306 1034 3494
1.74961e+06 0.0554259 975 3331
1.65204e+06 0.0458503 918 2473
1.86687e+06 0.0588908 1022 2905
1.81094e+06 0.043911 1026 3190
1.69785e+06 0.0413994 955 2536
1.94784e+06 0.0454807 1089 4116
1.73618e+06 0.0547619 989 3485
1.70431e+06 0.0407688 958 3163
2.10616e+06 0.057629 1117 3489
2.14836e+06 0.0527485 1159 4275
2.22153e+06 0.0592105 1181 4256
1.73163e+06 0.0506403 966 2831
2.00678e+06 0.0553969 1108 4001
1.68121e+06 0.0460177 953 4007
1.80569e+06 0.0496495 1016 3136
1.84758e+06 0.0557452 1007 4548
1.65912e+06 0.0534125 939 2964
1.86472e+06 0.0483401 1050 3357
1.5292e+06 0.0526946 867 2519
1.7661e+06 0.0616005 965 2921
1.67259e+06 0.0473441 924 2978
1.84066e+06 0.0529344 1018 2787
1.92103e+06 0.0438909 1109 3910
1.51466e+06 0.0601907 845 2775
1.87181e+06 0.0518814 1027 2905
1.98511e+06 0.0510737 1117 3492
1.69992e+06 0.0541033 990 3210
2.19263e+06 0.052 1223 4068
1.64524e+06 0.056615 931 3469
2.59315e+06 0.0494382 1439 6523
1.94984e+06 0.0576251 1094 3669
2.28409e+06 0.0535003 1272 5104
2.04675e+06 0.0479215 1151 3830
1.82527e+06 0.0658436 1022 3635
1.76578e+06 0.0459506 976 3686
1.75471e+06 0.0526316 995 3085
1.74733e+06 0.0557202 991 3179
1.87489e+06 0.0528455 1049 2997
1.83242e+06 0.0565476 1048 3636
1.75693e+06 0.0464183 968 3392
1.9894e+06 0.0491516 1131 4116
1.74743e+06 0.0499119 986 3255
1.68961e+06 0.0554583 939 3103
2.16231e+06 0.0440252 1211 4559
1.68436e+06 0.0539721 977 2807
2.15339e+06 0.0562988 1165 3509
2.71272e+06 0.0513791 1449 4934
1.92206e+06 0.0517442 1080 4523
1.89822e+06 0.0514451 1059 3903
1.68298e+06 0.0460449 955 3517
1.74837e+06 0.0428485 1022 3240
1.76796e+06 0.0448757 1038 3344
1.72478e+06 0.0523256 959 2864
1.95437e+06 0.0591883 1058 4033
1.9666e+06 0.052243 1079 3022
2.03198e+06 0.0632618 1138 3406
1.86334e+06 0.0573723 1025 3496
2.0667e+06 0.0389189 1090 3270
2.22604e+06 0.0518814 1240 4543
1.74843e+06 0.0598142 966 2436
2.11221e+06 0.0477273 1170 5227
1.75294e+06 0.0471535 969 4140
2.00642e+06 0.0538373 1112 4369
1.85519e+06 0.0492468 1037 3093
1.8161e+06 0.0532578 986 3504
1.64075e+06 0.0445898 937 2810
1.97957e+06 0.043054 1107 3590
1.8197e+06 0.0556193 999 3215
1.84929e+06 0.0489387 1054 3538
1.74958e+06 0.0521636 995 3076
1.63776e+06 0.044713 952 4129
1.62801e+06 0.040404 932 2481
2.49128e+06 0.0535416 1367 4981
1.7339e+06 0.0506257 943 2902
1.73646e+06 0.0432977 995 3013
1.7085e+06 0.04884 1004 3694
1.64767e+06 0.048926 941 3217
1.90344e+06 0.0592294 1050 4064
1.89259e+06 0.0394366 1036 3144
1.79628e+06 0.0462359 1029 3167
1.955e+06 0.0427746 1100 3894
2.54008e+06 0.0536723 1415 5517
1.94839e+06 0.0466174 1074 4790
1.75663e+06 0.0489068 970 3239
1.58148e+06 0.0533491 889 2907
1.77734e+06 0.0603398 993 3428
1.82765e+06 0.0406268 1030 3906
1.73909e+06 0.0528149 965 2970
1.65055e+06 0.0434524 945 3263
1.92353e+06 0.0590278 1070 4176
1.90644e+06 0.0490368 1078 4192
2.00974e+06 0.0452233 1105 3524
1.85844e+06 0.0541311 1017 2742
2.01615e+06 0.0626437 1116 3682
1.77526e+06 0.0561404 993 3164
1.7318e+06 0.0389455 1007 4007
1.77188e+06 0.0614294 997 3251
1.92641e+06 0.0455857 1079 3878
1.75748e+06 0.0585075 1003 3210
1.69512e+06 0.0431187 965 2969
1.87188e+06 0.0463652 1036 4138
2.25217e+06 0.0615982 1214 3918
1.7475e+06 0.048881 990 2904
2.0343e+06 0.0418527 1106 4257
1.83312e+06 0.057243 1027 3891
1.94705e+06 0.0540694 1069 3561
1.91466e+06 0.041225 1099 3650
2.2107e+06 0.0461013 1232 4805
1.79108e+06 0.0465116 1004 3367
1.52754e+06 0.0422195 883 2558
1.73135e+06 0.0369089 968 3453
1.87359e+06 0.0553936 1051 3418
1.88711e+06 0.0486111 1056 3858
2.07049e+06 0.0529412 1186 4188
1.80063e+06 0.0471143 1024 4517
2.01332e+06 0.0555871 1103 3425
1.93333e+06 0.0544413 1068 3310
1.63827e+06 0.0401216 962 3495
1.84537e+06 0.0501475 1051 3173
1.83441e+06 0.0527536 1023 2913
1.95839e+06 0.0624291 1066 3819
1.71712e+06 0.0475617 996 3708
2.15645e+06 0.0631229 1153 4710
1.95472e+06 0.0468571 1084 3538
2.0266e+06 0.0485269 1139 3924
2.07841e+06 0.0496652 1127 3445
1.7249e+06 0.0494186 961 3106
1.80503e+06 0.0463768 1010 3503
1.85305e+06 0.0447059 1057 4460
1.59692e+06 0.0516014 901 3019
1.75268e+06 0.053528 1025 3927
1.89894e+06 0.0505969 1041 3642
1.90374e+06 0.0445186 1025 3494
1.61168e+06 0.05 927 2742
1.88719e+06 0.0487662 1074 3629
1.76323e+06 0.0617426 966 2626
1.99362e+06 0.0442633 1132 3590
2.61458e+06 0.0481859 1466 5353
1.81078e+06 0.0417633 1018 3178
1.94093e+06 0.0534395 1064 3487
1.86081e+06 0.0518814 1021 2827
1.98372e+06 0.0531617 1071 4347
1.79048e+06 0.0578271 1000 3311
1.80657e+06 0.0514793 1029 3153
1.81788e+06 0.0668216 1003 6767
1.66625e+06 0.0389688 967 4054
1.75068e+06 0.0509479 996 3184
1.75782e+06 0.0490762 974 3236
1.57354e+06 0.0585395 897 3243
1.89679e+06 0.0483779 1043 3933
1.97886e+06 0.0476464 1103 3717
1.85215e+06 0.0443804 1034 3421
1.74238e+06 0.0499412 983 2837
1.83299e+06 0.0474286 1010 3145
2.34934e+06 0.0486111 1337 6160
1.80508e+06 0.0483582 1041 4252
2.11129e+06 0.0518135 1184 4876
1.83123e+06 0.0558195 1045 4264
1.80277e+06 0.0387097 1028 3223
1.55744e+06 0.0501208 895 2447
2.03938e+06 0.0504535 1122 5050
1.80682e+06 0.0352584 1073 3855
1.81048e+06 0.0472665 993 3128
1.69216e+06 0.0417647 960 4346
1.76493e+06 0.0403561 1016 4936
1.7484e+06 0.05112 961 3367
1.7627e+06 0.0448565 1019 4613
1.91758e+06 0.0513126 1109 3836
1.95889e+06 0.0536313 1054 3254
1.72532e+06 0.04979 995 3373
1.74397e+06 0.0523498 995 3617
2.21971e+06 0.051356 1253 6097
1.72539e+06 0.0440252 949 3103
1.78156e+06 0.0448792 989 3257
1.7201e+06 0.0566147 945 2784
1.84742e+06 0.0512972 1051 3369
1.93606e+06 0.0428986 1092 3303
1.71738e+06 0.0526008 960 3679
1.96365e+06 0.0557168 1101 3776
3.00338e+06 0.0504246 1584 7349
2.36181e+06 0.0319582 1359 7393
1.78942e+06 0.0491898 996 3851
2.47114e+06 0.0506108 1419 6394
1.86947e+06 0.0542099 1037 3562
1.69914e+06 0.0528529 977 3137
1.64701e+06 0.0373494 961 3482
1.9313e+06 0.0588921 1084 3870
1.72194e+06 0.039086 1004 3659
1.83394e+06 0.0481253 987 4572
2.10266e+06 0.0430108 1163 4106
1.6632e+06 0.0518562 935 3084
1.83446e+06 0.0546291 1012 3853
1.89295e+06 0.0635739 1036 3406
1.79235e+06 0.0503109 972 2759
1.59292e+06 0.0505952 903 3072
2.28343e+06 0.0490998 1217 3971
1.99926e+06 0.0496823 1121 4708
2.62085e+06 0.0583424 1406 4713
1.71064e+06 0.050464 949 2698
1.91797e+06 0.0444191 1059 3038
1.6082e+06 0.0509666 896 3081
1.72665e+06 0.0452675 978 3191
2.14679e+06 0.047011 1219 4288
2.05912e+06 0.0420875 1127 3915
1.99971e+06 0.0556186 1096 3848
1.84462e+06 0.0510907 1019 3764
1.61357e+06 0.040708 916 3451
1.68424e+06 0.0613318 931 2665
1.90875e+06 0.0496495 1079 3546
1.66616e+06 0.0443666 934 2928
1.863e+06 0.0464846 1048 4150
2.13508e+06 0.0569152 1180 4158
1.88526e+06 0.0470255 1032 3392
1.97833e+06 0.0531429 1093 3572
1.87674e+06 0.0465374 1003 2978
1.82178e+06 0.0417149 1023 3477
2.11021e+06 0.052 1173 5239
1.95452e+06 0.0507075 1118 3787
1.6604e+06 0.0413467 945 3038
1.79198e+06 0.0597795 992 3054
1.70715e+06 0.0486779 986 2798
1.97858e+06 0.0581006 1063 3097
1.79626e+06 0.0530871 994 2838
1.97106e+06 0.0429136 1082 3338
1.57617e+06 0.0491902 901 2989
1.90084e+06 0.0503637 1025 3106
2.18932e+06 0.0501393 1189 3723
2.07121e+06 0.0583771 1173 4125
1.71177e+06 0.0492874 976 3616
1.87383e+06 0.0551364 1046 4266
1.61979e+06 0.0456674 908 2971
1.91118e+06 0.0519787 1092 3537
2.32146e+06 0.0460089 1262 4329
1.77497e+06 0.0502067 1009 3502
1.73646e+06 0.0467517 1018 3777
1.6129e+06 0.0506634 929 2980
1.70125e+06 0.047142 963 3215
1.87716e+06 0.0358381 1059 3843
1.69371e+06 0.0479252 949 3818
1.74428e+06 0.0493167 997 2716
2.1453e+06 0.0514748 1211 3176
1.77272e+06 0.0546291 974 2793
2.23878e+06 0.0572562 1237 5246
1.73308e+06 0.0510563 975 2813
1.94846e+06 0.0544057 1115 4070
2.70432e+06 0.0507614 1511 5455
2.29049e+06 0.0507446 1235 4809
1.89094e+06 0.0610514 1022 3575
1.68921e+06 0.0509965 947 3271
2.05127e+06 0.0567859 1127 6390
1.94723e+06 0.0459976 1133 3964
1.67725e+06 0.0403531 1026 4052
1.69743e+06 0.0487089 955 2682
2.19206e+06 0.0507328 1206 5447
1.75221e+06 0.0531853 981 3600
1.79914e+06 0.0504451 1029 3470
1.79234e+06 0.042516 1010 3339
2.21494e+06 0.0587896 1244 5505
1.81025e+06 0.0495963 1005 2836
1.79646e+06 0.0551407 987 3442
1.9416e+06 0.0564746 1066 3725
1.90365e+06 0.0478334 1035 3509
2.16528e+06 0.0490524 1177 5393
1.77016e+06 0.0503554 1009 3865
1.74054e+06 0.0466352 990 3073
1.59735e+06 0.0472727 927 2907
1.72046e+06 0.0490941 965 3202
2.13021e+06 0.0510204 1176 4524
1.96478e+06 0.0452962 1110 3365
1.61304e+06 0.0484634 910 2840
1.96516e+06 0.0406977 1115 4561
1.83422e+06 0.0540701 1049 3527
1.81133e+06 0.0566686 991 2733
2.51315e+06 0.0535613 1412 5692
1.789e+06 0.053066 1013 3140
1.98029e+06 0.0453772 1091 3871
2.07098e+06 0.0498599 1127 3955
1.56902e+06 0.0488968 891 2506
2.00867e+06 0.0412256 1090 3489
1.71265e+06 0.0467563 962 3326
1.87237e+06 0.0528709 1024 3678
1.6435e+06 0.0520024 938 2622
1.95459e+06 0.0508762 1068 3630
2.05868e+06 0.0372526 1175 4623
1.76918e+06 0.0555556 956 3159
1.74997e+06 0.0478441 995 3535
1.94727e+06 0.0529279 1057 3403
1.74074e+06 0.0526008 974 3270
1.76083e+06 0.0440678 958 2763
1.7418e+06 0.044186 976 2797
1.61679e+06 0.0625745 908 3286
2.20154e+06 0.0501424 1226 4597
2.079e+06 0.0491148 1156 5731
1.7145e+06 0.0491415 975 2964
1.65432e+06 0.0429234 922 2612
1.68451e+06 0.0440658 952 3623
1.98168e+06 0.0517529 1065 3139
2.39824e+06 0.0559247 1300 4684
1.82611e+06 0.046811 1033 3258
2.04628e+06 0.0504821 1127 4557
2.65612e+06 0.0490798 1465 5358
1.94627e+06 0.0548712 1049 3735
1.82628e+06 0.0482529 973 3013
1.69194e+06 0.0485494 961 2684
1.87753e+06 0.0478134 1060 3786
1.80714e+06 0.0572917 1000 3038
1.79814e+06 0.0533412 1012 3204
1.7689e+06 0.0489225 991 2875
1.86216e+06 0.0583478 1031 3731
2.05314e+06 0.0488506 1148 5124
1.72267e+06 0.0493326 958 3301
1.96174e+06 0.0496249 1097 3339
2.0575e+06 0.0593768 1173 6793
1.73417e+06 0.0548673 978 3288
1.87656e+06 0.0495868 1072 3600
2.11705e+06 0.0513381 1122 3196
1.7432e+06 0.0570924 979 3660
1.94119e+06 0.0502513 1046 3159
1.8429e+06 0.0450346 1029 3327
2.01014e+06 0.0504484 1091 3833
1.86589e+06 0.0458769 1049 3782
1.7354e+06 0.0472206 1000 3252
1.96153e+06 0.0553097 1043 4501
2.02593e+06 0.056314 1114 4607
2.16083e+06 0.0437252 1201 3880
1.8214e+06 0.048312 1023 3130
2.1261e+06 0.0514286 1183 4770
1.63496e+06 0.0513126 931 2808
1.741e+06 0.047619 985 3228
1.75502e+06 0.0464037 980 3552
1.90688e+06 0.0425915 1115 3542
1.74687e+06 0.0463734 1002 2846
1.75406e+06 0.0529994 978 3404
