TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
4.58989e+06 0.0503766 2085 5109
4.90422e+06 0.0608045 2210 5674
5.12253e+06 0.0607735 2279 6264
5.26462e+06 0.0525826 2387 9209
4.77325e+06 0.0499067 2155 5945
4.62088e+06 0.0505618 2087 7775
4.40295e+06 0.0546239 2024 5980
6.77355e+06 0.054764 2983 8634
6.55804e+06 0.0516538 2938 8505
4.99608e+06 0.0558118 2228 6990
4.56433e+06 0.0511364 2084 5055
6.61327e+06 0.0515695 2932 11886
5.06617e+06 0.0481759 2308 6450
5.80816e+06 0.0595238 2601 6405
4.21465e+06 0.0521397 1990 7058
4.90465e+06 0.0504955 2247 6689
5.28696e+06 0.049837 2403 7424
5.08644e+06 0.0590149 2287 5358
4.28648e+06 0.0474365 1977 4595
5.6773e+06 0.0565435 2529 6640
4.72879e+06 0.0499293 2156 4803
5.96434e+06 0.0525082 2753 8068
4.31166e+06 0.0533911 1988 5880
7.11672e+06 0.0518251 3187 12931
4.57692e+06 0.049812 2075 6014
4.4131e+06 0.0544345 1983 5461
5.64251e+06 0.056844 2504 6171
5.58389e+06 0.058097 2491 6329
5.53379e+06 0.0530165 2470 8090
5.01481e+06 0.0569476 2206 5007
5.72861e+06 0.0537585 2554 7451
5.17273e+06 0.0505283 2312 6476
4.775e+06 0.053271 2155 4978
4.70719e+06 0.0461246 2173 5674
4.91896e+06 0.0438433 2235 5531
4.71175e+06 0.0585157 2158 5820
5.19354e+06 0.055379 2285 5743
4.7191e+06 0.0549954 2080 5466
6.56976e+06 0.049217 2906 9499
4.23205e+06 0.0463177 1881 4818
6.00438e+06 0.0605239 2656 7595
5.7404e+06 0.0623306 2527 7159
4.05866e+06 0.0425738 1891 4982
5.27627e+06 0.0503663 2354 6378
4.61462e+06 0.0510638 2106 5593
6.04897e+06 0.0550828 2658 10618
5.41033e+06 0.0516367 2435 6306
5.32358e+06 0.0488361 2370 8718
4.92773e+06 0.0538138 2233 7397
5.21368e+06 0.056351 2338 5602
4.68542e+06 0.048037 2092 5145
