TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
2.68315e+06 0.108286 1198 3871
2.82936e+06 0.122077 1257 3726
2.82296e+06 0.131215 1224 4200
2.99138e+06 0.120521 1336 3865
2.76133e+06 0.126866 1214 3134
2.76768e+06 0.117978 1228 3681
2.81253e+06 0.127935 1281 4990
3.53567e+06 0.13179 1540 4476
3.76332e+06 0.121885 1692 6174
2.77529e+06 0.108395 1217 3071
2.77604e+06 0.116951 1250 4005
3.01459e+06 0.126457 1287 3606
2.88806e+06 0.111319 1295 4231
3.11074e+06 0.138278 1364 4811
2.52624e+06 0.123463 1164 5031
2.92663e+06 0.125531 1321 5140
2.99748e+06 0.111318 1346 4328
2.97372e+06 0.125 1322 3206
2.60037e+06 0.113081 1175 3255
2.9326e+06 0.134063 1266 3155
2.81342e+06 0.119642 1261 3653
3.17475e+06 0.118143 1447 4451
2.49503e+06 0.125541 1114 2867
3.44354e+06 0.11717 1519 4564
2.87027e+06 0.12782 1283 4126
2.99282e+06 0.114031 1354 3583
3.01422e+06 0.130969 1306 3337
2.93643e+06 0.12946 1276 3929
2.93128e+06 0.13117 1270 3871
2.97097e+06 0.120729 1292 3891
3.22983e+06 0.11344 1430 3930
3.05804e+06 0.130914 1345 4334
2.82798e+06 0.124299 1254 3184
2.99323e+06 0.115549 1374 4453
3.44163e+06 0.119403 1579 5367
2.5445e+06 0.133206 1120 2881
3.04685e+06 0.12256 1325 4829
2.64212e+06 0.128781 1124 3057
3.02088e+06 0.127069 1287 3983
2.97926e+06 0.111163 1328 5357
3.31149e+06 0.135953 1448 5581
3.23409e+06 0.127823 1411 5196
2.58608e+06 0.106918 1186 3255
3.12875e+06 0.11859 1383 4635
2.70376e+06 0.12104 1207 3051
2.86397e+06 0.131214 1205 2665
3.1456e+06 0.117566 1404 4759
3.38694e+06 0.115016 1513 6936
3.14004e+06 0.120262 1424 4889
2.9714e+06 0.126559 1311 4568
2.773e+06 0.112702 1215 3442
2.92305e+06 0.135035 1287 3717
2.8441e+06 0.124943 1236 3773
2.88392e+06 0.117916 1254 3852
2.77311e+06 0.129362 1215 4118
2.80685e+06 0.129017 1257 3558
3.02936e+06 0.123256 1354 4425
3.3032e+06 0.125513 1466 4974
3.01832e+06 0.129526 1342 3656
3.28298e+06 0.119342 1461 4864
2.54694e+06 0.120615 1145 3460
2.94142e+06 0.115765 1330 4352
2.70184e+06 0.115942 1193 3346
2.79366e+06 0.106924 1258 3405
2.7584e+06 0.127341 1217 3092
3.48354e+06 0.141176 1540 6823
3.17523e+06 0.11612 1400 5513
2.71194e+06 0.127985 1221 3379
2.61669e+06 0.125588 1149 3159
3.60594e+06 0.118103 1624 7737
2.99055e+06 0.12037 1328 3741
3.17683e+06 0.129061 1357 6180
2.79498e+06 0.123048 1256 3906
3.94343e+06 0.127745 1763 6657
2.94814e+06 0.130096 1283 4817
2.77978e+06 0.125237 1250 4004
2.71526e+06 0.113015 1189 3142
2.68621e+06 0.126654 1193 3400
2.77555e+06 0.114272 1230 3488
2.69701e+06 0.114353 1201 4140
2.63267e+06 0.131754 1164 3218
3.18298e+06 0.118236 1400 6299
2.67861e+06 0.129551 1187 3973
2.57356e+06 0.115256 1157 3464
2.63116e+06 0.121565 1146 3539
3.65489e+06 0.114565 1600 4241
2.73911e+06 0.124189 1194 3080
2.83775e+06 0.126617 1241 3781
3.08755e+06 0.118732 1415 4334
2.97278e+06 0.124249 1313 4771
2.62545e+06 0.130166 1165 3141
3.23405e+06 0.113139 1434 4412
3.02286e+06 0.131712 1325 4327
2.60821e+06 0.102467 1173 3756
2.86457e+06 0.120824 1244 3291
2.909e+06 0.120869 1315 6195
2.84214e+06 0.123902 1245 3509
4.18717e+06 0.13993 1830 6701
3.09686e+06 0.130783 1314 4685
2.89387e+06 0.115527 1277 4743
2.97212e+06 0.133212 1288 4218
2.641e+06 0.112965 1190 3941
3.3826e+06 0.128335 1520 5915
2.85722e+06 0.11784 1280 3671
2.85807e+06 0.125117 1274 3738
2.62242e+06 0.131002 1136 2911
3.31623e+06 0.12465 1513 5921
2.76636e+06 0.117051 1205 3568
2.77269e+06 0.12776 1230 4654
2.46216e+06 0.122655 1098 3115
3.14161e+06 0.138788 1359 4656
2.89775e+06 0.129048 1342 4887
3.37783e+06 0.132625 1525 4562
2.85082e+06 0.126432 1235 3905
3.03641e+06 0.132015 1336 5294
3.23438e+06 0.130876 1444 6581
3.11868e+06 0.123721 1401 4175
2.75574e+06 0.121226 1208 3182
2.85345e+06 0.119662 1277 4054
3.29953e+06 0.124706 1518 6089
2.91172e+06 0.120859 1298 3810
2.85586e+06 0.128866 1270 4094
3.01246e+06 0.116357 1389 6484
3.13762e+06 0.133394 1377 4734
3.43339e+06 0.122468 1550 6391
2.69211e+06 0.108198 1221 3528
2.88257e+06 0.130137 1244 4526
4.08194e+06 0.123473 1779 7885
3.00368e+06 0.117071 1348 4176
2.78921e+06 0.118904 1228 3428
2.51359e+06 0.120615 1127 3182
2.58554e+06 0.114865 1176 3350
3.13648e+06 0.122328 1374 3926
2.67708e+06 0.127433 1159 3099
2.92793e+06 0.129477 1277 3177
2.86922e+06 0.12884 1244 3187
3.99675e+06 0.112597 1715 6425
2.84187e+06 0.118384 1255 3030
2.8771e+06 0.123212 1261 4236
2.79919e+06 0.131772 1207 3366
3.01631e+06 0.123457 1320 3946
2.8298e+06 0.122222 1242 3787
3.07654e+06 0.120499 1369 5098
2.88536e+06 0.129182 1273 4035
3.20216e+06 0.122799 1440 5641
3.01498e+06 0.119048 1355 5090
2.58106e+06 0.118377 1156 2779
2.80785e+06 0.11544 1292 5234
3.36752e+06 0.130258 1482 4516
2.8373e+06 0.101113 1262 3317
2.53276e+06 0.123092 1125 2885
2.64784e+06 0.11759 1206 3688
3.46126e+06 0.123898 1579 6261
3.07489e+06 0.119689 1351 3690
2.68981e+06 0.124826 1170 3497
2.99912e+06 0.126876 1301 4033
3.34502e+06 0.118907 1487 4973
2.90386e+06 0.114407 1311 4440
2.75912e+06 0.123873 1240 3689
3.29514e+06 0.120128 1472 4567
2.73833e+06 0.123346 1223 3733
2.77646e+06 0.134438 1197 3193
2.52072e+06 0.129647 1112 2623
3.24802e+06 0.130669 1407 5579
3.00612e+06 0.125 1316 3947
2.99568e+06 0.13977 1309 3596
2.63364e+06 0.120698 1205 3771
2.91306e+06 0.129647 1287 3606
2.7698e+06 0.118452 1241 3601
2.84977e+06 0.128205 1259 4181
2.78981e+06 0.114233 1219 3689
3.36932e+06 0.126761 1492 6709
2.98127e+06 0.119438 1342 4325
3.39248e+06 0.12909 1479 4075
3.21659e+06 0.130658 1456 6539
2.87591e+06 0.121839 1256 3850
3.56602e+06 0.12011 1620 4822
2.59723e+06 0.120926 1148 3073
2.87607e+06 0.118365 1291 4489
2.9331e+06 0.123422 1311 3588
2.77316e+06 0.125 1232 4365
