TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
3.74456e+06 0.0607345 1703 4721
3.8616e+06 0.0729654 1736 4454
4.29066e+06 0.0736648 1918 5061
4.37027e+06 0.0604933 1991 6115
3.73122e+06 0.0676306 1671 4002
4.27035e+06 0.0580524 1957 7570
3.84114e+06 0.0670819 1779 4994
5.84258e+06 0.0703473 2595 9538
4.89354e+06 0.0661531 2184 7596
3.76982e+06 0.0678044 1669 4659
3.77399e+06 0.0681818 1720 4757
5.19525e+06 0.0659193 2304 8223
4.10258e+06 0.0594013 1870 5513
4.92828e+06 0.0764652 2220 5744
3.42805e+06 0.0619774 1620 4840
4.00431e+06 0.0613497 1837 4171
4.1209e+06 0.0642757 1866 4671
4.3194e+06 0.0664498 1958 5252
3.77263e+06 0.0574988 1754 4877
4.51443e+06 0.0688554 2012 5241
3.89542e+06 0.05935 1781 4850
4.67072e+06 0.0628223 2156 7349
3.50185e+06 0.0692641 1609 4741
5.10198e+06 0.0671474 2271 9461
3.95444e+06 0.0587406 1806 5200
3.7371e+06 0.0661661 1687 4444
5.03737e+06 0.0700318 2261 5317
4.64055e+06 0.0768527 2075 6676
4.36669e+06 0.0639854 1948 4940
4.26441e+06 0.0687927 1887 6382
4.39972e+06 0.0656036 1956 6308
4.57914e+06 0.0675241 2061 7134
3.67536e+06 0.0733645 1640 4757
3.77467e+06 0.0608654 1737 4984
3.9843e+06 0.0550373 1810 4636
3.73793e+06 0.0713606 1708 4055
4.45375e+06 0.0708125 1970 5535
4.19429e+06 0.0692026 1865 4779
5.4222e+06 0.0639821 2408 8088
3.99396e+06 0.057434 1798 4901
5.22148e+06 0.0722674 2332 6306
4.72763e+06 0.0758808 2089 5924
3.5814e+06 0.0570876 1674 4091
4.35536e+06 0.0590659 1950 4430
4.41762e+06 0.0680851 2045 6486
4.20981e+06 0.0689655 1825 4211
4.66843e+06 0.0700784 2112 7338
4.57627e+06 0.0625285 2048 7262
4.12811e+06 0.0697239 1875 5398
4.18719e+06 0.0678984 1879 5284
3.92766e+06 0.0586605 1759 5640
4.04095e+06 0.0733179 1810 4713
4.51555e+06 0.0684428 2029 5223
4.05168e+06 0.0630713 1795 5070
4.14938e+06 0.0684039 1875 5878
4.04842e+06 0.0666352 1858 4394
4.11506e+06 0.0730233 1852 4706
4.75593e+06 0.0689183 2132 5525
4.06375e+06 0.0677809 1828 5481
4.38378e+06 0.0685871 1954 6998
3.43769e+06 0.068717 1575 3617
3.95919e+06 0.0616471 1809 4437
3.64549e+06 0.0645161 1636 4101
3.77972e+06 0.059821 1722 4161
4.36564e+06 0.0664794 1998 4380
4.80918e+06 0.0778281 2132 9855
4.35498e+06 0.068306 1931 5028
3.79113e+06 0.0764088 1737 4029
3.76692e+06 0.0686736 1704 4434
4.99585e+06 0.0569995 2253 7272
4.49892e+06 0.0611111 2043 5676
4.57717e+06 0.070761 1987 4503
4.01402e+06 0.0643635 1845 4537
5.40875e+06 0.0726132 2403 8040
4.33771e+06 0.075126 1930 5532
3.9889e+06 0.0678368 1834 4421
3.77333e+06 0.0666975 1680 4490
3.86012e+06 0.0694707 1759 4320
4.01414e+06 0.0615672 1818 4654
3.74237e+06 0.0635294 1698 5723
3.77102e+06 0.0758294 1713 4632
4.84922e+06 0.0632105 2172 9066
4.00581e+06 0.0775414 1827 4761
