TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
3.01958e+06 0.0734463 1320 3883
2.87176e+06 0.0972872 1197 3618
2.77655e+06 0.103591 1114 4028
2.82688e+06 0.0860865 1185 3226
2.9992e+06 0.0904851 1270 4493
2.81464e+06 0.0833333 1192 3845
2.7103e+06 0.0958313 1150 4120
3.3913e+06 0.101069 1376 3813
3.2825e+06 0.091527 1365 4383
2.82888e+06 0.0839483 1177 3548
2.66458e+06 0.0880682 1123 4423
2.98831e+06 0.0977578 1193 3103
2.92519e+06 0.0888681 1238 3790
3.12774e+06 0.106227 1282 4039
2.44697e+06 0.0875553 1060 3343
2.73863e+06 0.0957999 1143 3164
2.95398e+06 0.085701 1252 3646
2.97422e+06 0.0947955 1244 4028
2.70623e+06 0.0862482 1164 3472
3.50593e+06 0.0948472 1484 6314
2.69969e+06 0.0857277 1138 3353
3.20492e+06 0.0843882 1392 5496
2.63028e+06 0.0952381 1114 3560
3.15237e+06 0.0878774 1298 3580
2.95033e+06 0.0897556 1257 5317
2.75016e+06 0.0886908 1153 3642
3.12987e+06 0.097317 1286 4362
3.1971e+06 0.101098 1324 4199
2.92924e+06 0.0895795 1205 3724
3.19708e+06 0.0933941 1329 4739
3.27211e+06 0.0806378 1385 4623
3.24535e+06 0.0932476 1367 4977
2.89892e+06 0.0976636 1209 4653
2.66652e+06 0.086543 1132 4064
2.81513e+06 0.09375 1170 3402
2.88565e+06 0.0956232 1233 3877
3.08605e+06 0.0912392 1271 4648
2.85606e+06 0.0953254 1162 3027
3.18543e+06 0.0961969 1290 5735
2.63527e+06 0.0787402 1094 3012
3.47197e+06 0.106143 1434 4856
3.17665e+06 0.0998193 1295 4438
2.5998e+06 0.0769231 1138 3629
3.05033e+06 0.0924908 1264 4391
2.70639e+06 0.0973995 1126 3130
3.29716e+06 0.0935961 1350 4337
2.96765e+06 0.0931305 1232 3592
3.41484e+06 0.086262 1451 6584
3.06615e+06 0.0879738 1313 4876
3.21936e+06 0.0905312 1366 4130
2.94389e+06 0.0789838 1245 4824
2.88686e+06 0.102088 1185 3320
2.98136e+06 0.0914102 1236 5313
2.97559e+06 0.0845521 1236 3338
3.05171e+06 0.0888785 1295 4271
2.73185e+06 0.0973535 1139 3701
2.90371e+06 0.0967442 1206 3275
3.08747e+06 0.094021 1275 3888
2.96037e+06 0.095636 1234 3527
3.33182e+06 0.0823045 1418 5219
2.56503e+06 0.088419 1090 3868
2.84582e+06 0.0842353 1214 3641
2.75005e+06 0.0794764 1164 4893
2.72623e+06 0.0885539 1147 3425
2.78178e+06 0.0955056 1155 3088
3.55287e+06 0.104977 1480 6878
2.88999e+06 0.0942623 1172 3378
2.85815e+06 0.101719 1214 3925
2.73458e+06 0.104421 1122 3722
3.37718e+06 0.0861833 1431 5700
2.95001e+06 0.0865741 1239 3389
3.08912e+06 0.0947931 1236 4131
2.82573e+06 0.0918126 1200 5722
3.65891e+06 0.0986105 1524 5435
2.95538e+06 0.106734 1193 3351
2.82958e+06 0.0891841 1209 3302
2.94946e+06 0.0842983 1243 3764
2.85044e+06 0.0949906 1205 3336
2.92441e+06 0.0867537 1237 4495
2.75685e+06 0.0856471 1166 4183
2.78345e+06 0.0981043 1169 3966
3.24884e+06 0.0873124 1361 5920
2.74509e+06 0.0997636 1143 3620
2.69357e+06 0.083692 1159 4030
2.72963e+06 0.0833721 1142 3530
3.46557e+06 0.0879219 1427 4787
3.03584e+06 0.0963855 1269 3510
2.78497e+06 0.0988909 1132 3052
2.90225e+06 0.0870388 1246 4709
2.86783e+06 0.0928406 1184 4014
2.79848e+06 0.0864608 1200 3947
2.98713e+06 0.0839416 1240 3560
2.94368e+06 0.103717 1195 3615
2.70551e+06 0.0782732 1163 3968
3.11662e+06 0.0855835 1307 6382
2.83343e+06 0.0944287 1196 3693
3.01351e+06 0.0809061 1278 5045
4.29148e+06 0.101569 1777 7051
3.29159e+06 0.0974199 1331 5209
2.73287e+06 0.0961183 1110 3085
3.16742e+06 0.10219 1302 3979
2.684e+06 0.079123 1157 3819
3.1389e+06 0.0965961 1310 3988
2.76454e+06 0.0896714 1160 3229
2.99275e+06 0.0965323 1264 4901
2.88391e+06 0.0941725 1204 3898
2.99171e+06 0.0896359 1269 3716
2.95793e+06 0.0894009 1232 4169
3.05262e+06 0.0962893 1299 4881
2.73522e+06 0.0933141 1173 3454
3.1104e+06 0.100362 1262 3896
2.74718e+06 0.100532 1175 3607
3.18995e+06 0.0961183 1344 3715
2.97778e+06 0.103985 1209 4793
