TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
1.77833e+06 0.0271386 1028 3940
1.73295e+06 0.0351906 988 3438
2.26712e+06 0.0371877 1299 6391
2.24637e+06 0.0339666 1276 5001
1.96661e+06 0.0278422 1122 3286
1.79788e+06 0.0268535 1029 4100
2.19891e+06 0.027972 1267 4983
1.76497e+06 0.0259036 1044 3264
2.14216e+06 0.039058 1207 4166
3.31934e+06 0.027027 1871 8672
2.38428e+06 0.0254525 1337 3966
1.81559e+06 0.0328341 1020 2810
1.82223e+06 0.0246624 1052 3435
1.98526e+06 0.0305828 1125 3800
2.45634e+06 0.0269209 1366 3892
1.88554e+06 0.0273893 1079 3326
2.29114e+06 0.0304985 1330 5188
2.14388e+06 0.0322024 1214 4491
1.88519e+06 0.0327363 1143 3597
2.13452e+06 0.0282852 1242 4585
2.1028e+06 0.0275176 1215 5216
1.97486e+06 0.0267753 1132 3042
1.95288e+06 0.0303561 1120 4039
1.93704e+06 0.0259505 1152 4398
2.11916e+06 0.0331089 1168 3903
1.82127e+06 0.027566 1048 4242
2.10716e+06 0.0296167 1206 5945
1.7044e+06 0.0224378 1016 3368
1.94381e+06 0.0293441 1098 3579
2.16011e+06 0.0304598 1224 4138
1.86404e+06 0.0342183 1075 3054
1.94854e+06 0.027027 1127 3738
2.16025e+06 0.0363322 1225 5227
2.67135e+06 0.0391061 1480 6148
1.84029e+06 0.0359629 1040 4409
2.19688e+06 0.0286678 1218 3850
2.03946e+06 0.0260417 1164 3397
1.97392e+06 0.0331618 1106 3765
1.92608e+06 0.0236857 1096 3443
2.26203e+06 0.0338792 1259 3905
1.86663e+06 0.0291667 1091 3584
2.23385e+06 0.0299367 1270 4848
1.79699e+06 0.0270748 1037 3161
1.76278e+06 0.0272028 1021 3518
1.81532e+06 0.0343602 1050 3356
2.2418e+06 0.0337838 1244 4212
1.86943e+06 0.0348837 1061 4455
2.35865e+06 0.036869 1320 4836
2.20518e+06 0.0293466 1204 6158
1.78767e+06 0.0250729 1023 3601
2.6308e+06 0.0370582 1489 6079
2.53676e+06 0.0341598 1384 6642
1.84415e+06 0.0269795 1062 2995
1.69033e+06 0.0246394 996 3270
1.88452e+06 0.0274757 1058 3552
2.09368e+06 0.0279595 1230 4058
2.28342e+06 0.0365579 1265 4331
1.88406e+06 0.0311419 1064 3880
2.65894e+06 0.0311615 1497 6175
2.05906e+06 0.0234152 1161 3768
1.99368e+06 0.0288915 1157 4042
2.10611e+06 0.0370582 1178 4798
1.86425e+06 0.0262238 1067 4027
1.77098e+06 0.0242634 1004 3676
1.98397e+06 0.0301449 1130 3197
1.88401e+06 0.0319211 1070 3544
2.1086e+06 0.0329289 1199 4286
2.20031e+06 0.027968 1240 4059
2.19994e+06 0.0303551 1243 4447
1.92037e+06 0.0316607 1126 3838
2.24877e+06 0.0346394 1258 4256
1.92385e+06 0.0262373 1130 3868
2.60667e+06 0.0364238 1425 5515
1.99178e+06 0.0300885 1156 3419
2.4205e+06 0.03053 1382 4420
1.79257e+06 0.0320095 1038 3872
1.56275e+06 0.0252774 942 2958
2.28435e+06 0.0262407 1290 4502
1.841e+06 0.0301597 1067 3786
2.07373e+06 0.0285881 1193 4698
2.56276e+06 0.0285225 1452 5860
2.48199e+06 0.0293062 1475 5075
2.76211e+06 0.0323642 1506 5261
1.98964e+06 0.0338983 1141 4104
1.94754e+06 0.038806 1137 3749
1.96837e+06 0.0355661 1144 5414
2.60767e+06 0.0307778 1449 5004
1.72684e+06 0.0268265 963 4042
1.83781e+06 0.0273733 1050 3945
2.45978e+06 0.0318258 1360 4651
1.88323e+06 0.0285036 1098 4203
2.64542e+06 0.0367647 1485 7713
2.04402e+06 0.0342466 1144 4261
2.2027e+06 0.0340176 1274 5652
2.6587e+06 0.0265742 1529 6671
1.7186e+06 0.0314319 974 3027
1.81117e+06 0.0262061 1059 2975
1.86994e+06 0.0364794 1056 3218
1.93819e+06 0.0269321 1117 5112
1.99968e+06 0.0287559 1155 4052
2.0388e+06 0.0349854 1167 4141
1.7547e+06 0.0309579 1000 2994
1.98808e+06 0.0272727 1111 4063
1.98495e+06 0.0359281 1166 3377
1.64038e+06 0.032491 960 3686
1.73976e+06 0.0322581 995 3386
2.69713e+06 0.0306748 1495 5745
2.52177e+06 0.0326327 1381 5146
1.75777e+06 0.0315852 1023 3148
2.09468e+06 0.0296634 1177 4033
1.86093e+06 0.0275984 1073 3763
1.83363e+06 0.0316716 1052 3292
1.87401e+06 0.0278584 1067 3911
2.04214e+06 0.033839 1170 3943
1.67524e+06 0.0307603 946 3135
2.47582e+06 0.0348771 1402 5007
1.70345e+06 0.0316159 971 4042
1.80567e+06 0.0227405 1036 3180
2.037e+06 0.029361 1154 4067
1.88315e+06 0.0315476 1099 4522
1.7796e+06 0.0285381 1014 3259
2.73826e+06 0.0400659 1491 7038
2.89181e+06 0.0266519 1601 6141
3.00492e+06 0.0328947 1643 5412
2.05592e+06 0.032596 1177 4759
2.2686e+06 0.0359794 1277 4633
1.83033e+06 0.0271386 1060 4700
2.13714e+06 0.0315421 1231 5300
2.06442e+06 0.0278726 1157 3854
2.0659e+06 0.0284866 1209 4668
2.00175e+06 0.0320326 1145 3763
1.65492e+06 0.0293413 967 3055
2.16412e+06 0.0385723 1224 3809
2.02232e+06 0.0306005 1148 3718
1.96685e+06 0.0310702 1110 3782
1.89908e+06 0.0332147 1103 3987
1.73597e+06 0.0369487 1005 3209
2.17449e+06 0.027366 1224 3793
2.16968e+06 0.0365641 1239 4372
1.80306e+06 0.0346505 1071 3839
2.57216e+06 0.0342857 1458 5222
1.78344e+06 0.0309893 1039 3338
3.20372e+06 0.0252809 1800 8231
2.42489e+06 0.0302678 1400 7057
2.91171e+06 0.0318725 1653 7219
2.0389e+06 0.0340647 1155 3880
2.19766e+06 0.0388007 1272 5211
2.0464e+06 0.0304423 1156 4610
1.92358e+06 0.0360733 1113 4092
2.27051e+06 0.0278601 1333 5344
2.3413e+06 0.029036 1347 4816
1.67417e+06 0.0380952 965 2665
1.84514e+06 0.0240688 1039 3912
2.09116e+06 0.0315974 1205 4588
2.1786e+06 0.0358191 1260 4663
1.96942e+06 0.0309399 1129 3826
2.24778e+06 0.0268725 1271 3955
1.69028e+06 0.0363857 996 3180
2.33444e+06 0.0312152 1285 4612
3.05116e+06 0.0329908 1645 6810
2.07736e+06 0.0290698 1190 5398
2.11394e+06 0.0323699 1203 4143
1.84668e+06 0.0230224 1074 4322
1.75778e+06 0.025347 1042 4183
1.82962e+06 0.0315343 1087 3542
2.29631e+06 0.0284884 1322 5662
2.15558e+06 0.035513 1194 3632
2.18736e+06 0.0289608 1226 4825
2.0199e+06 0.0313407 1152 4888
2.25031e+06 0.0361446 1272 5895
2.98157e+06 0.0232432 1608 6133
2.39731e+06 0.0285063 1354 4828
2.12664e+06 0.0354239 1214 4362
2.18461e+06 0.0255682 1227 3593
1.88159e+06 0.0304773 1060 4106
2.03527e+06 0.0366552 1142 4627
1.90005e+06 0.0295481 1080 3965
2.38013e+06 0.0283286 1336 5815
1.68792e+06 0.0243757 984 3343
2.08918e+06 0.0344432 1178 4073
2.13025e+06 0.0309633 1203 4147
2.26749e+06 0.0341981 1321 5083
1.99698e+06 0.0284529 1166 4463
1.76334e+06 0.0271903 1045 3442
1.73059e+06 0.0308972 1004 2492
2.47857e+06 0.0290017 1370 4391
1.91924e+06 0.0324232 1068 3548
1.8264e+06 0.0290629 1062 3914
1.98173e+06 0.029304 1192 5111
1.88467e+06 0.0298329 1104 3267
2.36486e+06 0.0379528 1343 4648
1.97358e+06 0.0259155 1094 3760
1.76937e+06 0.0314167 1025 3771
1.79815e+06 0.0283237 1017 3976
2.54972e+06 0.0282486 1430 5841
2.17048e+06 0.0267197 1219 4218
1.93229e+06 0.0281933 1092 2888
1.77568e+06 0.0284529 1031 4557
1.99121e+06 0.0339777 1144 5184
1.93099e+06 0.0249565 1103 4064
2.07792e+06 0.0307603 1187 3930
1.77039e+06 0.0244048 1035 3266
2.52212e+06 0.0341435 1448 5312
1.95479e+06 0.0321074 1119 3746
2.26691e+06 0.031091 1265 5139
1.94085e+06 0.0381766 1078 3410
2.43988e+06 0.037931 1387 6773
2.08136e+06 0.0350877 1196 3887
1.74834e+06 0.0251648 1028 3423
1.86356e+06 0.0419374 1070 4303
2.24032e+06 0.0259665 1279 4211
2.25554e+06 0.0298507 1333 4795
1.96468e+06 0.0295334 1141 4032
1.91757e+06 0.0257584 1079 3811
2.88098e+06 0.036071 1592 5876
1.8411e+06 0.0288575 1063 3591
2.07434e+06 0.0251116 1141 3927
1.99409e+06 0.0280374 1147 3681
2.20969e+06 0.0352874 1238 3958
2.11976e+06 0.0306243 1231 4911
2.1636e+06 0.0267501 1216 3643
1.88479e+06 0.0255814 1077 3712
1.62602e+06 0.0277443 957 3213
1.92975e+06 0.0236448 1096 3485
1.91294e+06 0.0303207 1094 3309
2.0175e+06 0.0289352 1149 4559
2.12319e+06 0.0394118 1227 5504
1.86793e+06 0.0294464 1079 4130
2.12278e+06 0.036869 1181 3932
2.07486e+06 0.034957 1167 3574
1.82435e+06 0.0231003 1093 4041
1.8963e+06 0.0312684 1097 3583
2.00943e+06 0.0272464 1147 4179
2.02281e+06 0.0431328 1119 3560
1.73158e+06 0.0331126 1017 3333
2.42624e+06 0.038206 1326 6035
2.41954e+06 0.0285714 1371 5902
2.03454e+06 0.0294627 1157 3810
2.06893e+06 0.0284598 1136 3757
1.96885e+06 0.0296512 1125 4043
1.93603e+06 0.0324638 1100 3425
1.83512e+06 0.0217647 1064 3790
1.86437e+06 0.0308422 1084 3459
1.78012e+06 0.0298054 1061 3166
