TotalCosts RejectionRate 
7.32881e+06 0.734033
3.0113e+06 0.756339
2.96904e+06 0.678247
2.95438e+06 0.599317
2.86017e+06 0.528517
2.84173e+06 0.464804
2.70598e+06 0.384314
2.53626e+06 0.273111
2.38207e+06 0.196248
2.33308e+06 0.154194
2.21146e+06 0.120889
2.12283e+06 0.0990888
2.04374e+06 0.0907822
1.97595e+06 0.0854025
1.91891e+06 0.0775756
1.89189e+06 0.0730247
1.89497e+06 0.0746403
1.85894e+06 0.0720717
1.87942e+06 0.0652747
1.90799e+06 0.0689884
1.80181e+06 0.0687775
1.85105e+06 0.0651662
1.80221e+06 0.0659829
1.81237e+06 0.0639991
1.75917e+06 0.0665135
1.79692e+06 0.0648083
1.85263e+06 0.0671691
1.78194e+06 0.0658434
1.83321e+06 0.0584147
1.75337e+06 0.0646088
1.78201e+06 0.0594381
1.73918e+06 0.0610537
1.78057e+06 0.0578504
1.7881e+06 0.0579402
1.72452e+06 0.0672088
1.78609e+06 0.0629812
1.76899e+06 0.058796
1.76813e+06 0.0601328
1.8092e+06 0.0561901
1.77697e+06 0.0527657
1.77238e+06 0.0583938
1.7241e+06 0.0608398
1.76771e+06 0.0623722
1.73541e+06 0.0643237
1.74043e+06 0.0598117
1.75417e+06 0.0603496
1.75088e+06 0.058576
1.73428e+06 0.0591241
1.73648e+06 0.0541018
1.76047e+06 0.0566571
1.73807e+06 0.0594581
1.78316e+06 0.0586514
1.77016e+06 0.0545759
1.80953e+06 0.050672
1.71079e+06 0.0629766
1.75805e+06 0.0596337
1.78332e+06 0.0575291
1.81385e+06 0.0540522
1.74052e+06 0.0585502
1.73367e+06 0.056484
1.74282e+06 0.0545434
1.75679e+06 0.0591174
1.7543e+06 0.0562777
1.72801e+06 0.0578744
1.77613e+06 0.0557203
1.70886e+06 0.0626603
1.76546e+06 0.0560996
1.77233e+06 0.0519303
1.76169e+06 0.0552835
1.77661e+06 0.0535753
1.72007e+06 0.0628255
1.7224e+06 0.0533462
1.73533e+06 0.0570244
1.77963e+06 0.054282
1.7865e+06 0.0551208
1.73868e+06 0.0531971
1.73289e+06 0.0555228
1.69479e+06 0.0589503
1.74447e+06 0.0552778
1.69292e+06 0.0609288
1.62842e+06 0.0697239
1.68775e+06 0.0613981
1.72776e+06 0.0576497
1.73423e+06 0.0530725
1.74151e+06 0.059444
1.76215e+06 0.0522967
1.7083e+06 0.0565356
1.73651e+06 0.0538617
1.74648e+06 0.0589547
1.74712e+06 0.055088
1.72448e+06 0.0532327
1.71606e+06 0.0558243
1.71857e+06 0.0543255
1.76166e+06 0.0549581
1.73604e+06 0.0556161
1.77316e+06 0.0507628
1.74389e+06 0.0501813
1.73139e+06 0.0554358
1.79139e+06 0.0558051
1.71556e+06 0.0577918
