TotalCosts RejectionRate 
9.87843e+06 0.516885
6.1518e+06 0.52983
6.12064e+06 0.468562
6.15166e+06 0.374643
6.06798e+06 0.299463
5.96299e+06 0.245453
5.80356e+06 0.165071
5.52727e+06 0.100592
5.23524e+06 0.043807
5.16949e+06 0.0242531
4.93082e+06 0.0149746
4.64984e+06 0.00620572
4.45329e+06 0.00402241
4.28249e+06 0.00252289
3.97797e+06 0.00143935
3.93991e+06 0.000994642
3.92374e+06 0.000792543
3.67556e+06 0.000571261
3.62986e+06 0.000400587
3.67232e+06 0.000288087
3.46107e+06 0.000278846
3.63572e+06 0.000259657
3.42387e+06 0.000156535
3.43175e+06 0.000168607
3.36272e+06 9.36529e-05
3.39376e+06 7.51649e-05
3.49842e+06 0.00013851
3.27214e+06 8.79321e-05
3.3897e+06 5.14878e-05
3.24543e+06 5.79993e-05
3.28497e+06 7.48923e-05
3.22279e+06 4.06079e-05
3.26504e+06 2.88776e-05
3.32528e+06 2.8645e-05
3.37991e+06 3.44911e-05
3.43139e+06 1.1429e-05
3.17986e+06 5.76272e-05
3.21033e+06 2.89086e-05
3.18729e+06 2.89642e-05
3.10505e+06 2.27109e-05
3.19797e+06 2.26164e-05
3.10491e+06 2.9091e-05
3.20493e+06 4.02845e-05
3.15084e+06 1.73479e-05
3.15115e+06 2.34853e-05
3.15815e+06 2.89424e-05
3.30778e+06 5.1867e-05
3.21289e+06 2.93064e-05
3.17056e+06 1.73797e-05
3.27929e+06 0
3.35142e+06 3.51425e-05
3.26455e+06 1.71578e-05
3.2574e+06 1.14266e-05
3.26175e+06 1.13734e-05
3.23691e+06 1.73173e-05
3.27316e+06 1.13993e-05
3.25087e+06 2.32845e-05
3.25531e+06 1.78086e-05
3.36172e+06 0
3.31033e+06 1.75661e-05
3.28958e+06 5.84112e-06
3.31147e+06 1.71828e-05
3.20131e+06 1.74806e-05
3.19766e+06 5.91366e-06
3.31599e+06 2.33606e-05
3.21465e+06 0
3.28575e+06 6.02773e-06
3.24212e+06 1.18979e-05
3.2229e+06 1.16436e-05
3.26415e+06 5.50055e-06
3.30726e+06 0
3.24551e+06 0
3.34706e+06 2.91147e-05
3.29657e+06 1.75126e-05
3.25197e+06 0
3.24121e+06 5.90319e-06
3.30354e+06 1.15451e-05
3.18036e+06 0
3.28428e+06 5.8997e-06
3.27593e+06 5.76369e-06
3.24847e+06 5.90319e-06
3.23853e+06 0
3.32937e+06 5.91017e-06
3.13952e+06 0
3.30233e+06 5.77701e-06
3.2585e+06 0
3.1414e+06 5.87199e-06
3.27151e+06 5.62746e-06
3.25342e+06 5.9312e-06
3.20277e+06 6.13874e-06
3.20956e+06 0
3.18133e+06 1.13719e-05
3.1612e+06 0
3.36746e+06 1.15237e-05
3.28269e+06 5.8997e-06
3.23623e+06 2.32617e-05
3.23878e+06 1.72442e-05
3.32643e+06 1.76362e-05
3.28884e+06 0
3.20146e+06 5.87199e-06
