TotalCosts RejectionRate 
9.73992e+06 0.522124
6.14994e+06 0.527806
6.11698e+06 0.454052
6.14993e+06 0.361474
6.04384e+06 0.28379
5.895e+06 0.228094
5.73266e+06 0.142739
5.36986e+06 0.0873468
5.09192e+06 0.0418213
5.07129e+06 0.0224369
4.85234e+06 0.0161965
4.48158e+06 0.00752444
4.36518e+06 0.00456353
4.17496e+06 0.00277216
3.91052e+06 0.00176996
3.8864e+06 0.00123195
3.79296e+06 0.000943399
3.65301e+06 0.000728462
3.53226e+06 0.000591528
3.56843e+06 0.000368852
3.44211e+06 0.000319046
3.57229e+06 0.000329814
3.42217e+06 0.00021979
3.3236e+06 0.000215012
3.30757e+06 0.00017537
3.3295e+06 0.000138905
3.35707e+06 0.000155874
3.24933e+06 8.71958e-05
3.35388e+06 5.80214e-05
3.19586e+06 8.66516e-05
3.24748e+06 9.13407e-05
3.13366e+06 6.9755e-05
3.1905e+06 3.50157e-05
3.19178e+06 5.71912e-05
3.27808e+06 2.84743e-05
3.32515e+06 3.40117e-05
3.19544e+06 2.33179e-05
3.16588e+06 1.75356e-05
3.19046e+06 2.2765e-05
3.10257e+06 1.13623e-05
3.19689e+06 2.85299e-05
3.11499e+06 2.91924e-05
3.28304e+06 4.62903e-05
3.16609e+06 5.22617e-05
3.19658e+06 2.94235e-05
3.19524e+06 4.0676e-05
3.26124e+06 4.61029e-05
3.1516e+06 4.67059e-05
3.13975e+06 2.33482e-05
3.28812e+06 5.85823e-06
3.21912e+06 1.74739e-05
3.23594e+06 3.41083e-05
3.18264e+06 1.74676e-05
3.1806e+06 5.91017e-06
3.20699e+06 1.18239e-05
3.16507e+06 3.47062e-05
3.19861e+06 2.9023e-05
3.26472e+06 1.15162e-05
3.30396e+06 5.72738e-06
3.21904e+06 1.17555e-05
3.23066e+06 5.98802e-06
3.25877e+06 4.01088e-05
3.17658e+06 1.17717e-05
3.19538e+06 1.16904e-05
3.20548e+06 1.17123e-05
3.20638e+06 0
3.26304e+06 1.17203e-05
3.32265e+06 0
3.24955e+06 5.94884e-06
3.2283e+06 0
3.19713e+06 1.16849e-05
3.14442e+06 5.92066e-06
3.34681e+06 0
3.20814e+06 2.3293e-05
3.21961e+06 1.17307e-05
3.16727e+06 1.18064e-05
3.20249e+06 6.11621e-06
3.1067e+06 2.31449e-05
3.15651e+06 1.17035e-05
3.187e+06 0
3.21017e+06 0
3.13653e+06 0
3.31976e+06 5.91017e-06
3.1521e+06 5.82411e-06
3.28849e+06 1.15842e-05
3.29694e+06 0
3.23502e+06 1.1744e-05
3.35184e+06 1.73927e-05
3.30603e+06 0
3.21006e+06 1.15145e-05
3.17405e+06 0
3.16072e+06 0
3.09525e+06 0
3.26321e+06 1.1786e-05
3.22685e+06 1.74923e-05
3.23117e+06 5.86854e-06
3.15483e+06 0
3.23955e+06 1.18625e-05
3.25564e+06 0
3.23059e+06 0
