TotalCosts RejectionRate 
8.29097e+06 0.806001
4.64167e+06 0.995023
4.65166e+06 0.998304
4.66491e+06 0.998913
4.64563e+06 0.999123
4.66472e+06 0.99915
4.65766e+06 0.999225
4.65965e+06 0.999334
4.64691e+06 0.999326
4.65691e+06 0.999356
4.67496e+06 0.999365
4.64266e+06 0.999354
4.66162e+06 0.999392
4.66403e+06 0.99938
4.65099e+06 0.999396
4.66627e+06 0.999416
4.67695e+06 0.999394
4.67068e+06 0.99941
4.64798e+06 0.99939
4.69024e+06 0.999413
4.6547e+06 0.999414
4.6828e+06 0.9994
4.66788e+06 0.999404
4.64944e+06 0.999413
4.6519e+06 0.999408
4.66688e+06 0.99941
4.69061e+06 0.999407
4.6476e+06 0.999407
4.67136e+06 0.999416
4.65861e+06 0.99942
4.66788e+06 0.999404
4.65348e+06 0.99942
4.65513e+06 0.999414
4.67516e+06 0.999411
4.66449e+06 0.999421
4.69206e+06 0.999425
4.65885e+06 0.999421
4.66701e+06 0.999416
4.66606e+06 0.999421
4.65164e+06 0.99942
4.65549e+06 0.999414
4.65364e+06 0.99942
4.67276e+06 0.999422
4.64597e+06 0.999419
4.65129e+06 0.99942
4.66432e+06 0.999415
4.68039e+06 0.999417
4.65828e+06 0.999415
4.65463e+06 0.999414
4.67592e+06 0.999417
4.66883e+06 0.999416
4.66607e+06 0.999415
4.6616e+06 0.999421
4.67564e+06 0.999423
4.6625e+06 0.999421
4.67629e+06 0.999423
4.67003e+06 0.999422
4.67749e+06 0.999417
4.67699e+06 0.999423
4.66567e+06 0.999416
4.67934e+06 0.999423
4.6795e+06 0.999423
4.66652e+06 0.999421
4.66015e+06 0.999421
4.67316e+06 0.999422
4.63331e+06 0.999417
4.66557e+06 0.999421
4.65934e+06 0.999421
4.671e+06 0.999422
4.66752e+06 0.999421
4.66418e+06 0.999415
4.6524e+06 0.99942
4.66376e+06 0.999421
4.66984e+06 0.999422
4.67065e+06 0.999422
4.6518e+06 0.99942
4.66244e+06 0.999421
4.64775e+06 0.999419
4.66873e+06 0.999422
4.66333e+06 0.999421
4.66784e+06 0.999421
4.66023e+06 0.999421
4.68026e+06 0.999423
4.6575e+06 0.99942
4.68299e+06 0.999423
4.66787e+06 0.999422
4.63782e+06 0.999418
4.66487e+06 0.999421
4.67543e+06 0.999422
4.66949e+06 0.999422
4.65075e+06 0.999419
4.64691e+06 0.999413
4.66069e+06 0.999421
4.66603e+06 0.999421
4.66795e+06 0.999422
4.68148e+06 0.999423
4.65723e+06 0.99942
4.6903e+06 0.999424
4.66857e+06 0.999422
4.66128e+06 0.999421
