TotalCosts RejectionRate 
1.21682e+07 0.726943
5.8365e+06 0.67925
5.81836e+06 0.629613
5.81266e+06 0.557657
5.78973e+06 0.501438
5.76638e+06 0.4399
5.65477e+06 0.376094
5.62157e+06 0.29591
5.50808e+06 0.237529
5.40921e+06 0.184763
5.23913e+06 0.160241
5.15431e+06 0.138207
5.03626e+06 0.121137
5.1095e+06 0.111298
5.05397e+06 0.099251
4.95659e+06 0.0960442
4.90238e+06 0.0899911
4.78288e+06 0.085693
4.86093e+06 0.0817291
4.89602e+06 0.0757911
4.71398e+06 0.0758357
4.70267e+06 0.075438
4.94558e+06 0.0722789
4.53132e+06 0.0733672
4.71637e+06 0.0687714
4.71082e+06 0.0692549
4.828e+06 0.0676729
4.68881e+06 0.0681115
4.71626e+06 0.0657276
4.69118e+06 0.0674038
4.67229e+06 0.0659336
4.56546e+06 0.065785
4.74451e+06 0.0634947
4.48753e+06 0.0636527
4.57942e+06 0.0642683
4.47964e+06 0.0653095
4.5623e+06 0.0627405
4.56103e+06 0.0630185
4.64621e+06 0.0645602
4.38714e+06 0.0678133
4.61005e+06 0.0623667
4.47423e+06 0.0666861
4.57387e+06 0.0688356
4.46297e+06 0.0647935
4.54463e+06 0.0626684
4.68973e+06 0.0592431
4.47188e+06 0.0682506
4.54998e+06 0.0634003
4.62809e+06 0.0655117
4.63248e+06 0.0615568
4.69813e+06 0.0588007
4.61121e+06 0.0651504
4.37492e+06 0.0661044
4.57037e+06 0.063622
4.44723e+06 0.0643732
4.56777e+06 0.0647696
4.43992e+06 0.0644336
4.50941e+06 0.0642664
4.59288e+06 0.0624136
4.51575e+06 0.0650869
4.68912e+06 0.0620574
4.54612e+06 0.0643688
4.54725e+06 0.0619422
4.55638e+06 0.0649842
4.50561e+06 0.0660753
4.64318e+06 0.0624719
4.72195e+06 0.0604672
4.72018e+06 0.0572588
4.60466e+06 0.0623429
4.624e+06 0.0634455
4.53935e+06 0.0608272
4.5872e+06 0.0639903
4.51774e+06 0.0666778
4.4409e+06 0.067759
4.67377e+06 0.0642868
4.59468e+06 0.0633074
4.63597e+06 0.0621434
4.75095e+06 0.0633925
4.75699e+06 0.0612732
4.59142e+06 0.0656712
4.68146e+06 0.0614266
4.82169e+06 0.0636595
4.67275e+06 0.0659967
4.47846e+06 0.0676143
4.61829e+06 0.0654038
4.64217e+06 0.0661871
4.52967e+06 0.0645866
4.62233e+06 0.0609501
4.42593e+06 0.0668819
4.74954e+06 0.0621649
4.61617e+06 0.0638658
4.67943e+06 0.0647809
4.76623e+06 0.0595487
4.55572e+06 0.0668461
4.48209e+06 0.065332
4.76445e+06 0.0623855
4.39599e+06 0.0735964
4.58624e+06 0.0646961
4.54943e+06 0.0675726
4.47714e+06 0.0706733
