TotalCosts RejectionRate 
1.04798e+07 0.79058
6.19603e+06 0.998322
6.20368e+06 0.999096
6.2203e+06 0.999213
6.19427e+06 0.999268
6.21991e+06 0.999323
6.21039e+06 0.999345
6.21288e+06 0.999368
6.19601e+06 0.999373
6.20926e+06 0.999403
6.23338e+06 0.999405
6.19025e+06 0.999389
6.21543e+06 0.999398
6.21873e+06 0.999398
6.20133e+06 0.999414
6.22168e+06 0.999416
6.23593e+06 0.9994
6.22759e+06 0.999416
6.19738e+06 0.999413
6.2537e+06 0.999424
6.20629e+06 0.99942
6.24375e+06 0.999412
6.22384e+06 0.999416
6.19925e+06 0.999413
6.20258e+06 0.99942
6.22251e+06 0.999416
6.25417e+06 0.999424
6.19682e+06 0.999419
6.22844e+06 0.999416
6.21148e+06 0.99942
6.2239e+06 0.999422
6.20464e+06 0.99942
6.20685e+06 0.999414
6.23358e+06 0.999422
6.21932e+06 0.999421
6.25608e+06 0.999425
6.2118e+06 0.999421
6.22271e+06 0.999421
6.22141e+06 0.999421
6.20219e+06 0.99942
6.20734e+06 0.99942
6.20485e+06 0.99942
6.23034e+06 0.999422
6.19463e+06 0.999419
6.20172e+06 0.99942
6.21907e+06 0.999421
6.24053e+06 0.999423
6.21106e+06 0.999415
6.20618e+06 0.99942
6.23454e+06 0.999417
6.22512e+06 0.999422
6.22142e+06 0.999415
6.21547e+06 0.999421
6.23419e+06 0.999423
6.21666e+06 0.999421
6.23506e+06 0.999423
6.2267e+06 0.999422
6.23664e+06 0.999417
6.23599e+06 0.999423
6.22091e+06 0.999421
6.23912e+06 0.999423
6.23934e+06 0.999423
6.22202e+06 0.999421
6.21353e+06 0.999421
6.23088e+06 0.999422
6.17774e+06 0.999417
6.22076e+06 0.999421
6.21245e+06 0.999421
6.228e+06 0.999422
6.22336e+06 0.999421
6.21888e+06 0.999415
6.2032e+06 0.99942
6.21835e+06 0.999421
6.22645e+06 0.999422
6.22753e+06 0.999422
6.2024e+06 0.99942
6.21659e+06 0.999421
6.197e+06 0.999419
6.22498e+06 0.999422
6.21778e+06 0.999421
6.22379e+06 0.999421
6.21364e+06 0.999421
6.24035e+06 0.999423
6.21e+06 0.99942
6.24398e+06 0.999423
6.22382e+06 0.999422
6.18376e+06 0.999418
6.21983e+06 0.999421
6.2339e+06 0.999422
6.22598e+06 0.999422
6.201e+06 0.999419
6.19589e+06 0.999419
6.21425e+06 0.999421
6.22138e+06 0.999421
6.22393e+06 0.999422
6.24197e+06 0.999423
6.20964e+06 0.99942
6.25374e+06 0.999424
6.22476e+06 0.999422
6.21504e+06 0.999421
