TotalCosts RejectionRate 
8.60977e+06 0.621052
4.32914e+06 0.601053
4.22227e+06 0.522266
4.13573e+06 0.448464
3.99159e+06 0.394949
3.91236e+06 0.355448
3.75788e+06 0.298713
3.57462e+06 0.246142
3.33641e+06 0.182976
3.13766e+06 0.134227
2.99364e+06 0.10932
3.01172e+06 0.0852705
2.79274e+06 0.0735474
2.77879e+06 0.0640323
2.6251e+06 0.0528653
2.68047e+06 0.048558
2.62873e+06 0.0514576
2.63417e+06 0.0415923
2.54009e+06 0.0407446
2.59093e+06 0.0375449
2.54388e+06 0.0360644
2.66654e+06 0.0328999
2.46965e+06 0.0371909
2.3957e+06 0.0367737
2.38503e+06 0.0313751
2.44248e+06 0.0295907
2.55977e+06 0.0307493
2.46007e+06 0.025281
2.47716e+06 0.0293087
2.40073e+06 0.02823
2.49765e+06 0.0222338
2.40539e+06 0.0237896
2.31188e+06 0.0261993
2.37026e+06 0.0268094
2.24361e+06 0.0303855
2.41138e+06 0.0268607
2.29844e+06 0.0314447
2.29339e+06 0.027111
2.26672e+06 0.0311439
2.36091e+06 0.0220853
2.33245e+06 0.0254373
2.2889e+06 0.0244457
2.34331e+06 0.024222
2.36058e+06 0.0211503
2.29302e+06 0.0255743
2.35912e+06 0.0235892
2.41928e+06 0.0225695
2.31849e+06 0.0230287
2.38018e+06 0.021195
2.2835e+06 0.0262883
2.35184e+06 0.0243319
2.34176e+06 0.0236268
2.4541e+06 0.0174423
2.37517e+06 0.0209113
2.2657e+06 0.0283163
2.22999e+06 0.0268818
2.21856e+06 0.0263984
2.29696e+06 0.0267742
2.25473e+06 0.0274441
2.27148e+06 0.0235101
2.27415e+06 0.0242463
2.32832e+06 0.0233254
2.39365e+06 0.0183795
2.29809e+06 0.0236578
2.20115e+06 0.0272651
2.24169e+06 0.024757
2.335e+06 0.0263745
2.34409e+06 0.021374
2.32947e+06 0.0240166
2.31346e+06 0.0225587
2.22636e+06 0.0255135
2.27102e+06 0.0207685
2.28785e+06 0.0236597
2.40377e+06 0.0195562
2.29772e+06 0.0238917
2.16625e+06 0.0261643
2.15267e+06 0.0283816
2.15959e+06 0.0254577
2.28719e+06 0.0227032
2.18546e+06 0.0287148
2.26799e+06 0.0221558
2.31343e+06 0.0199946
2.30897e+06 0.021822
2.30042e+06 0.0183059
2.31256e+06 0.0205249
2.179e+06 0.0263811
2.15698e+06 0.0265664
2.39536e+06 0.0193338
2.21926e+06 0.0274002
2.16612e+06 0.0282004
2.169e+06 0.0252954
2.26607e+06 0.0225157
2.28941e+06 0.0191791
2.37291e+06 0.0188
2.20536e+06 0.0272314
2.3704e+06 0.0185484
2.25688e+06 0.020717
2.25894e+06 0.0219367
2.31259e+06 0.0179066
2.2477e+06 0.0209082
