TotalCosts RejectionRate 
1.27959e+07 0.817973
5.83365e+06 0.995285
5.83786e+06 0.998444
5.8259e+06 0.998984
5.86974e+06 0.999297
5.83239e+06 0.999311
5.84057e+06 0.999403
5.84856e+06 0.99942
5.84633e+06 0.99945
5.82752e+06 0.999471
5.82835e+06 0.999472
5.83899e+06 0.999492
5.82825e+06 0.999505
5.83636e+06 0.999491
5.82621e+06 0.999509
5.8538e+06 0.999502
5.83611e+06 0.999496
5.81703e+06 0.999522
5.83822e+06 0.999524
5.83809e+06 0.999514
5.82491e+06 0.999523
5.80491e+06 0.999526
5.84223e+06 0.999533
5.80824e+06 0.999521
5.83724e+06 0.999528
5.81809e+06 0.999527
5.83681e+06 0.999528
5.82849e+06 0.999523
5.82344e+06 0.999536
5.85066e+06 0.999539
5.83938e+06 0.999528
5.83176e+06 0.999537
5.83917e+06 0.999533
5.80265e+06 0.999535
5.83004e+06 0.999527
5.83864e+06 0.999538
5.80249e+06 0.999535
5.81998e+06 0.999536
5.83191e+06 0.999532
5.82331e+06 0.999536
5.8176e+06 0.999531
5.83319e+06 0.999532
5.85352e+06 0.999539
5.80954e+06 0.999535
5.80826e+06 0.99953
5.80495e+06 0.999535
5.8408e+06 0.999538
5.83076e+06 0.999537
5.83624e+06 0.999537
5.82268e+06 0.999532
5.81845e+06 0.999536
5.85244e+06 0.999534
5.81311e+06 0.999531
5.84933e+06 0.999538
5.82088e+06 0.999536
5.84604e+06 0.999538
5.82636e+06 0.999537
5.81982e+06 0.999536
5.8354e+06 0.999537
5.83988e+06 0.999538
5.84588e+06 0.999538
5.83089e+06 0.999537
5.80697e+06 0.999535
5.8398e+06 0.999538
5.8404e+06 0.999538
5.84931e+06 0.999538
5.82857e+06 0.999537
5.82322e+06 0.999536
5.84158e+06 0.999538
5.82222e+06 0.999527
5.80095e+06 0.999535
5.83421e+06 0.999537
5.84744e+06 0.999538
5.83456e+06 0.999537
5.83459e+06 0.999537
5.82196e+06 0.999536
5.82611e+06 0.999537
5.85695e+06 0.999539
5.84801e+06 0.999538
5.83124e+06 0.999537
5.81404e+06 0.999536
5.84906e+06 0.999538
5.83926e+06 0.999538
5.82339e+06 0.999536
5.83278e+06 0.999537
5.8492e+06 0.999538
5.83273e+06 0.999537
5.81291e+06 0.999536
5.83259e+06 0.999537
5.84882e+06 0.999538
5.83775e+06 0.999537
5.82922e+06 0.999537
5.82376e+06 0.999536
5.83373e+06 0.999537
5.80125e+06 0.999535
5.834e+06 0.999537
5.85104e+06 0.999538
5.82663e+06 0.999537
5.83729e+06 0.999537
5.83532e+06 0.999537
