TotalCosts RejectionRate 
1.11728e+07 0.803468
5.84375e+06 0.655441
5.85751e+06 0.569213
5.83519e+06 0.487418
5.80837e+06 0.423838
5.66653e+06 0.338215
5.58166e+06 0.245068
5.5395e+06 0.194324
5.40173e+06 0.159057
5.21381e+06 0.125124
4.98224e+06 0.114762
5.0937e+06 0.0982813
4.75095e+06 0.0955396
4.84692e+06 0.0836284
4.87448e+06 0.0798323
4.81635e+06 0.0810211
4.73906e+06 0.0731784
4.72859e+06 0.0719367
4.76376e+06 0.072744
4.74299e+06 0.0673938
4.58966e+06 0.0701154
4.67101e+06 0.0654232
4.85051e+06 0.0666597
4.66314e+06 0.0657037
4.66432e+06 0.0657534
4.61608e+06 0.0678132
4.65491e+06 0.0652232
4.64918e+06 0.0638038
4.5984e+06 0.0630785
4.52803e+06 0.0686836
4.49886e+06 0.0676347
4.5556e+06 0.0686598
4.57749e+06 0.0700294
4.4776e+06 0.0661436
4.54177e+06 0.0691662
4.72521e+06 0.0663077
4.65504e+06 0.0666873
4.62154e+06 0.0678605
4.67881e+06 0.0686376
4.50162e+06 0.0695706
4.65722e+06 0.0661141
4.69742e+06 0.0678022
4.57393e+06 0.0706621
4.8113e+06 0.0627989
4.597e+06 0.0649642
4.57743e+06 0.0659319
4.55582e+06 0.0726146
4.6739e+06 0.0655931
4.63562e+06 0.0674522
4.65348e+06 0.0665089
4.59913e+06 0.0650256
4.9028e+06 0.0634157
4.57614e+06 0.0702403
4.70924e+06 0.0679486
4.56577e+06 0.0685689
4.8562e+06 0.0626411
4.725e+06 0.0682661
4.67882e+06 0.0654644
4.79345e+06 0.0632798
4.71046e+06 0.0668363
5.00644e+06 0.0600785
4.59474e+06 0.0680908
4.75045e+06 0.0613635
4.63086e+06 0.0715553
4.69068e+06 0.0732599
4.89058e+06 0.064535
4.72875e+06 0.0661003
4.85947e+06 0.060323
4.56652e+06 0.0704801
4.77123e+06 0.0664189
4.76617e+06 0.0636406
4.75833e+06 0.0658273
4.65062e+06 0.0699643
4.56419e+06 0.0676005
4.66546e+06 0.070288
4.77886e+06 0.0642732
4.70146e+06 0.0658295
4.78125e+06 0.0666779
4.75007e+06 0.0686843
4.71136e+06 0.0674278
