TotalCosts RejectionRate 
8.08379e+06 0.575886
6.13726e+06 0.488074
6.13238e+06 0.388475
6.07552e+06 0.297013
5.91418e+06 0.17679
5.56917e+06 0.084516
5.14501e+06 0.04012
4.81533e+06 0.0179067
4.49031e+06 0.00648523
4.24024e+06 0.00297398
4.18851e+06 0.00152278
3.84497e+06 0.000837381
3.63388e+06 0.000564239
3.5393e+06 0.00062806
3.3917e+06 0.000285476
3.44295e+06 0.000203396
3.50989e+06 0.000254293
3.2515e+06 0.000186482
3.31103e+06 0.000134417
3.40375e+06 8.07557e-05
3.3486e+06 0.000121658
3.40689e+06 0.000132304
3.26985e+06 8.19712e-05
3.23309e+06 9.2289e-05
3.14568e+06 9.92906e-05
3.29351e+06 6.42156e-05
3.35717e+06 4.58156e-05
3.19814e+06 5.21889e-05
3.34333e+06 6.38095e-05
3.15459e+06 4.64806e-05
3.31696e+06 4.04132e-05
3.15362e+06 2.31377e-05
3.22484e+06 1.18825e-05
3.3548e+06 2.87605e-05
3.34991e+06 4.62195e-05
3.54495e+06 1.1306e-05
3.32221e+06 1.7414e-05
3.25575e+06 1.76926e-05
3.26931e+06 2.35255e-05
3.21811e+06 1.15721e-05
3.27861e+06 6.10501e-06
3.18771e+06 0
3.28504e+06 1.17607e-05
3.17449e+06 1.1789e-05
3.30071e+06 1.12742e-05
3.20942e+06 1.79732e-05
3.29497e+06 1.15338e-05
3.20773e+06 2.92459e-05
3.26382e+06 0
3.22361e+06 5.89623e-06
3.34182e+06 5.75705e-06
3.34081e+06 5.75043e-06
3.37466e+06 0
3.33899e+06 1.15979e-05
3.35549e+06 5.59284e-06
3.35372e+06 5.77701e-06
3.41304e+06 5.75374e-06
3.43195e+06 4.04717e-05
3.42224e+06 0
3.28689e+06 1.1805e-05
3.32464e+06 1.12822e-05
3.3621e+06 0
3.30758e+06 5.87544e-06
3.33784e+06 0
3.3279e+06 1.17626e-05
3.2855e+06 0
3.39631e+06 5.90319e-06
3.37837e+06 0
3.34532e+06 5.76037e-06
3.35336e+06 0
3.31073e+06 5.81734e-06
3.31556e+06 0
3.41783e+06 0
3.34294e+06 1.17553e-05
3.33376e+06 5.86166e-06
3.33738e+06 5.90319e-06
3.34464e+06 1.14724e-05
3.30819e+06 0
3.35062e+06 0
3.37074e+06 0
