TotalCosts RejectionRate 
7.89962e+06 0.730166
3.02163e+06 0.768116
3.02631e+06 0.688971
3.01304e+06 0.596087
2.96757e+06 0.476087
2.90853e+06 0.409381
2.82906e+06 0.329027
2.70585e+06 0.22996
2.51398e+06 0.155536
2.41981e+06 0.121751
2.29951e+06 0.105965
2.2896e+06 0.0921612
2.20602e+06 0.0814612
2.13155e+06 0.0767667
2.11125e+06 0.0665382
2.06754e+06 0.0654775
2.05611e+06 0.0644734
1.96712e+06 0.0603585
1.97283e+06 0.0541876
1.98738e+06 0.0568672
1.94445e+06 0.0586849
1.9701e+06 0.0604957
1.89736e+06 0.0591114
1.90909e+06 0.0560918
1.88179e+06 0.0538949
1.93494e+06 0.0513001
1.98221e+06 0.0490283
1.94257e+06 0.0499897
1.95445e+06 0.0505366
1.85766e+06 0.0533472
1.89461e+06 0.0507564
1.86972e+06 0.0495327
1.87455e+06 0.0492896
1.92303e+06 0.048597
1.88118e+06 0.0520106
1.929e+06 0.0491749
1.91579e+06 0.0481257
1.89047e+06 0.047382
1.90713e+06 0.0491533
1.94562e+06 0.0431433
1.86255e+06 0.0496439
1.85389e+06 0.0511749
1.90695e+06 0.0498068
1.84102e+06 0.0522348
1.85618e+06 0.049709
1.85331e+06 0.0523865
1.93396e+06 0.0466968
1.86146e+06 0.0491734
1.87757e+06 0.0426569
1.86353e+06 0.048656
1.83936e+06 0.0484894
1.86142e+06 0.0505799
1.82446e+06 0.0501674
1.86849e+06 0.0476136
1.83601e+06 0.0543062
1.84573e+06 0.0504533
1.82214e+06 0.0520984
1.90193e+06 0.0449601
1.85677e+06 0.049734
1.86503e+06 0.0494314
1.83382e+06 0.0476975
1.8493e+06 0.0510277
1.89019e+06 0.0465719
1.83425e+06 0.0474678
1.8176e+06 0.050676
1.81951e+06 0.0504245
1.83006e+06 0.0561623
1.83832e+06 0.048714
1.847e+06 0.0480323
1.84315e+06 0.0509511
1.82904e+06 0.0477587
1.80896e+06 0.0475379
1.85694e+06 0.0466446
1.83844e+06 0.048548
1.88471e+06 0.044471
1.87242e+06 0.0434733
1.80985e+06 0.0510013
1.73791e+06 0.0521693
1.85371e+06 0.0452247
1.78352e+06 0.0540027
1.79868e+06 0.0484116
1.78328e+06 0.0483185
1.94424e+06 0.0418202
1.8379e+06 0.0435451
1.84963e+06 0.0475334
1.83573e+06 0.0459983
1.81396e+06 0.0454969
1.8195e+06 0.0481277
1.7984e+06 0.0514348
1.80627e+06 0.05075
1.8765e+06 0.0429632
1.82544e+06 0.0466401
1.84048e+06 0.0432709
1.82851e+06 0.0492057
1.81322e+06 0.0486376
1.8543e+06 0.0449198
1.82099e+06 0.0482624
1.92494e+06 0.0483038
1.80856e+06 0.0519895
1.92295e+06 0.043805
