TotalCosts RejectionRate 
5.67893e+06 0.56326
3.53037e+06 0.540585
3.41592e+06 0.449475
3.26259e+06 0.358
3.13331e+06 0.281682
2.87879e+06 0.192773
2.63552e+06 0.107371
2.36583e+06 0.0634622
2.30957e+06 0.0321977
2.13289e+06 0.0195572
2.01921e+06 0.0119181
1.9256e+06 0.00506591
1.84398e+06 0.00289546
1.77061e+06 0.00226653
1.68845e+06 0.00159446
1.71305e+06 0.001027
1.64492e+06 0.000975099
1.62661e+06 0.000527082
1.68117e+06 0.000590419
1.59198e+06 0.000386941
1.61921e+06 0.00027082
1.62868e+06 0.000263583
1.5659e+06 0.000285372
1.59301e+06 0.000188954
1.57625e+06 0.000214087
1.5747e+06 0.000201434
1.53198e+06 0.000158922
1.50514e+06 0.000103936
1.54672e+06 6.1848e-05
1.51161e+06 6.94105e-05
1.472e+06 9.24127e-05
1.47007e+06 9.78092e-05
1.50834e+06 7.67298e-05
1.46414e+06 3.4353e-05
1.50642e+06 4.13529e-05
1.46281e+06 3.50755e-05
1.43855e+06 5.63188e-05
1.44797e+06 6.3037e-05
1.47739e+06 6.32158e-05
1.47437e+06 2.0511e-05
1.44946e+06 6.98596e-05
1.43806e+06 3.3762e-05
1.46596e+06 4.92529e-05
1.45207e+06 4.18266e-05
1.49121e+06 0
1.46343e+06 1.36997e-05
1.44747e+06 2.77173e-05
1.52208e+06 2.09002e-05
1.48206e+06 0
1.4257e+06 2.07254e-05
1.45519e+06 2.75828e-05
1.43907e+06 1.36301e-05
1.44429e+06 2.12077e-05
1.43924e+06 2.03232e-05
1.44897e+06 0
1.43695e+06 6.69792e-06
1.48613e+06 1.38537e-05
1.44252e+06 6.88231e-06
1.45335e+06 7.06215e-06
1.41078e+06 6.78887e-06
1.42714e+06 0
1.41269e+06 0
1.40144e+06 1.37812e-05
1.41035e+06 1.37603e-05
1.48372e+06 0
1.45809e+06 7.13776e-06
1.42607e+06 1.39698e-05
1.44733e+06 2.0881e-05
1.44903e+06 6.8306e-06
1.42927e+06 0
1.40587e+06 0
1.43686e+06 0
1.43919e+06 2.12486e-05
1.42165e+06 1.43581e-05
1.43947e+06 0
1.42701e+06 0
1.43715e+06 0
1.45979e+06 0
1.45967e+06 6.92521e-06
1.42838e+06 6.88705e-06
1.43505e+06 0
1.45472e+06 0
1.4064e+06 1.37796e-05
1.46091e+06 0
1.4697e+06 0
1.42711e+06 0
1.42843e+06 0
1.39997e+06 0
1.43737e+06 0
1.41194e+06 0
1.43674e+06 0
1.41047e+06 1.37613e-05
1.39526e+06 6.89655e-06
1.41495e+06 6.88231e-06
1.41677e+06 0
1.48973e+06 0
1.45271e+06 0
1.38741e+06 0
1.44414e+06 0
1.42058e+06 0
