TotalCosts RejectionRate 
9.84539e+06 0.784766
6.10872e+06 0.973123
6.12779e+06 0.977204
6.1572e+06 0.981286
6.13717e+06 0.982702
6.16496e+06 0.983628
6.1561e+06 0.983784
6.15872e+06 0.983894
6.14334e+06 0.984078
6.15733e+06 0.984663
6.18046e+06 0.984359
6.13967e+06 0.985082
6.16419e+06 0.984811
6.1671e+06 0.984836
6.14657e+06 0.983932
6.17054e+06 0.98502
6.18494e+06 0.984951
6.17521e+06 0.984776
6.14055e+06 0.983376
6.19643e+06 0.983664
6.14856e+06 0.983315
6.18705e+06 0.983822
6.16671e+06 0.983492
6.1427e+06 0.983705
6.15061e+06 0.984723
6.16463e+06 0.983332
6.19404e+06 0.982954
6.14293e+06 0.984632
6.1689e+06 0.983134
6.15288e+06 0.98328
6.16638e+06 0.983584
6.14854e+06 0.983941
6.15124e+06 0.984129
6.17243e+06 0.982911
6.15506e+06 0.982192
6.1976e+06 0.983838
6.15495e+06 0.983952
6.16379e+06 0.983766
6.16e+06 0.983136
6.13713e+06 0.982052
6.1427e+06 0.982142
6.14422e+06 0.983304
6.16792e+06 0.982983
6.12651e+06 0.98165
6.13168e+06 0.981009
6.15144e+06 0.981845
6.16763e+06 0.980648
6.1412e+06 0.981396
6.13802e+06 0.981974
6.16231e+06 0.98084
6.15093e+06 0.980633
6.14421e+06 0.979881
6.13497e+06 0.97921
6.15503e+06 0.979704
6.13334e+06 0.978872
6.15145e+06 0.978954
6.1402e+06 0.978272
6.14864e+06 0.977993
6.14824e+06 0.978405
6.12877e+06 0.977383
6.14829e+06 0.977977
6.14068e+06 0.976149
6.1247e+06 0.976554
6.11924e+06 0.977266
6.12107e+06 0.973956
6.07465e+06 0.97533
6.11321e+06 0.974676
6.09906e+06 0.973386
6.12034e+06 0.975005
6.10158e+06 0.972114
6.10182e+06 0.973185
6.0768e+06 0.97117
6.09034e+06 0.971012
6.09753e+06 0.971094
6.0998e+06 0.971407
6.06858e+06 0.97011
6.07823e+06 0.969184
6.06079e+06 0.969536
6.08603e+06 0.969215
6.08336e+06 0.970199
6.07728e+06 0.96768
6.07273e+06 0.969123
6.09004e+06 0.967122
6.05356e+06 0.966006
6.08558e+06 0.965701
6.06998e+06 0.966686
6.03301e+06 0.967165
6.05834e+06 0.965353
6.06651e+06 0.964212
6.06447e+06 0.965472
6.03535e+06 0.964733
6.03382e+06 0.965485
6.03813e+06 0.962523
6.0382e+06 0.961642
6.04979e+06 0.963131
6.06351e+06 0.962623
6.02815e+06 0.961904
6.07422e+06 0.962448
6.03762e+06 0.960859
6.03292e+06 0.961868
