TotalCosts RejectionRate 
1.06206e+07 0.573762
5.42216e+06 0.600932
5.32658e+06 0.550023
5.22259e+06 0.482676
5.0641e+06 0.425604
4.94809e+06 0.38512
4.76647e+06 0.323873
4.61952e+06 0.277049
4.42212e+06 0.223786
4.13521e+06 0.15448
3.88257e+06 0.106542
3.73767e+06 0.0739463
3.58104e+06 0.0589659
3.6016e+06 0.0415726
3.50995e+06 0.0398264
3.41423e+06 0.0340601
3.39718e+06 0.0298129
3.33377e+06 0.0213653
3.31306e+06 0.0192911
3.27465e+06 0.0186236
3.33289e+06 0.0138004
3.34574e+06 0.0127615
3.19537e+06 0.0121559
3.12919e+06 0.013429
3.06405e+06 0.0106813
3.21594e+06 0.00726519
3.40022e+06 0.00674783
3.15344e+06 0.00707454
3.14259e+06 0.00742154
3.00225e+06 0.0089889
3.08206e+06 0.00627102
3.09445e+06 0.00270726
3.20023e+06 0.00224988
3.16936e+06 0.00213995
3.16118e+06 0.00288475
3.25346e+06 0.00385678
2.95162e+06 0.00658085
2.90721e+06 0.00761871
2.95361e+06 0.00549831
2.94279e+06 0.00576344
2.94537e+06 0.00638504
2.84434e+06 0.0078812
2.96642e+06 0.00651536
2.87606e+06 0.0060761
2.8929e+06 0.00592552
3.05136e+06 0.00400736
3.17627e+06 0.0028153
3.0263e+06 0.000904041
3.12641e+06 0.000826138
3.1605e+06 0.00127488
3.03716e+06 0.00350138
3.12337e+06 0.00139556
3.17441e+06 0.00104027
3.16669e+06 0.00075642
3.19225e+06 0.000826389
3.2904e+06 0.00107719
3.15255e+06 0.00192598
3.12306e+06 0.00178988
3.15023e+06 0.00104629
3.03115e+06 0.00104718
3.1362e+06 0.000715063
3.11992e+06 0.00111682
3.01659e+06 0.000862926
3.03566e+06 0.000643436
3.13004e+06 0.000599833
3.11452e+06 0.000407955
3.14678e+06 0.000611251
3.09944e+06 0.000544091
3.09452e+06 0.000369229
3.15786e+06 0.000375792
3.10696e+06 0.000539519
3.04893e+06 0.000323807
3.16491e+06 0.000514739
3.11635e+06 0.000724738
3.08559e+06 0.00113727
2.92425e+06 0.00270618
2.9383e+06 0.00426419
3.0108e+06 0.000857524
3.08852e+06 0.000398212
3.06763e+06 0.000464633
3.1159e+06 0.000299988
3.10718e+06 0.000103748
3.31206e+06 0.000138332
3.07435e+06 0.000105972
3.19867e+06 6.89345e-05
3.14608e+06 5.18805e-05
3.05762e+06 0.000132811
3.1345e+06 8.693e-05
3.11181e+06 5.2112e-05
3.06088e+06 5.21841e-05
3.0153e+06 1.73654e-05
3.04428e+06 4.60431e-05
3.00394e+06 4.61046e-05
3.18067e+06 2.91838e-05
3.16184e+06 6.34316e-05
3.14513e+06 0.000120961
3.06116e+06 8.69447e-05
3.1364e+06 0.000109104
3.0926e+06 6.39088e-05
3.06032e+06 2.3136e-05
