TotalCosts RejectionRate 
5.64681e+06 0.531183
3.78432e+06 0.480435
3.75453e+06 0.356478
3.66227e+06 0.270135
3.66687e+06 0.215917
3.48484e+06 0.150975
3.24691e+06 0.081256
2.71626e+06 0.0292072
2.41064e+06 0.00857796
2.14351e+06 0.00298371
2.03504e+06 0.00145092
1.83529e+06 0.000711504
1.79235e+06 0.000402607
1.72039e+06 0.000373689
1.692e+06 0.000202248
1.67774e+06 0.000179868
1.66257e+06 9.79078e-05
1.62475e+06 4.19351e-05
1.66862e+06 9.78035e-05
1.62825e+06 4.85583e-05
1.60267e+06 6.28527e-05
1.62674e+06 3.49969e-05
1.56016e+06 4.16483e-05
1.57623e+06 0
1.58439e+06 2.80233e-05
1.58914e+06 7.01754e-06
1.57688e+06 2.11313e-05
1.5531e+06 0
1.57907e+06 1.35136e-05
1.53813e+06 0
1.51438e+06 7.48503e-06
1.50432e+06 2.11214e-05
1.54151e+06 7.02741e-06
1.51702e+06 0
1.5334e+06 0
1.5213e+06 0
1.48567e+06 7.32064e-06
1.52004e+06 6.95894e-06
1.53975e+06 6.91085e-06
1.5463e+06 0
1.52001e+06 6.93001e-06
1.50354e+06 0
1.54151e+06 6.97837e-06
1.53224e+06 0
1.55376e+06 0
1.52706e+06 0
1.51532e+06 0
1.52568e+06 0
1.52703e+06 0
1.49677e+06 0
1.51578e+06 0
1.47834e+06 0
1.49551e+06 0
1.50047e+06 0
1.50755e+06 0
1.48471e+06 0
1.57239e+06 7.13776e-06
1.52635e+06 0
1.55792e+06 0
1.49366e+06 0
1.48387e+06 0
1.5051e+06 0
1.47825e+06 0
1.50616e+06 0
1.5593e+06 0
1.53773e+06 0
1.51962e+06 0
1.53279e+06 7.02247e-06
1.56563e+06 0
1.51088e+06 6.97837e-06
1.49634e+06 0
1.49968e+06 0
1.49344e+06 0
1.53967e+06 0
1.49817e+06 0
1.51491e+06 0
1.51859e+06 0
1.53265e+06 0
1.54035e+06 0
1.50693e+06 0
1.49783e+06 0
1.49998e+06 0
1.48811e+06 0
1.53312e+06 0
1.51468e+06 0
1.51258e+06 0
1.50889e+06 0
1.4955e+06 0
1.52482e+06 0
1.48835e+06 0
1.49975e+06 0
1.4765e+06 0
1.47196e+06 0
1.47627e+06 0
1.47469e+06 0
1.5268e+06 0
1.53365e+06 0
1.48072e+06 0
1.50325e+06 0
1.50828e+06 0
