TotalCosts RejectionRate 
7.37853e+06 0.925771
3.89498e+06 0.998198
3.89253e+06 0.997996
3.88322e+06 0.997039
3.90393e+06 0.961857
3.87969e+06 0.750639
3.8385e+06 0.580292
3.81157e+06 0.442371
3.73723e+06 0.327221
3.69489e+06 0.249501
3.47534e+06 0.182503
3.34208e+06 0.149846
3.20288e+06 0.135313
3.17158e+06 0.126405
3.10928e+06 0.115693
3.05173e+06 0.120126
3.0812e+06 0.110097
3.05235e+06 0.111825
3.00774e+06 0.108562
3.06085e+06 0.104661
2.94054e+06 0.106541
2.95957e+06 0.104911
3.11507e+06 0.100222
2.92858e+06 0.100236
3.00091e+06 0.0972857
2.93245e+06 0.102547
2.96756e+06 0.103269
3.0144e+06 0.0979474
2.8964e+06 0.101308
2.92934e+06 0.102472
2.97187e+06 0.0999696
3.09196e+06 0.092812
2.94389e+06 0.0974072
2.78646e+06 0.102021
2.95325e+06 0.0973481
2.88708e+06 0.0999032
2.83369e+06 0.103224
2.98936e+06 0.0971825
2.95976e+06 0.0963887
2.91516e+06 0.0963348
2.9911e+06 0.0920727
2.95221e+06 0.0980652
3.04361e+06 0.0962783
2.85258e+06 0.10064
3.03075e+06 0.0932661
3.00387e+06 0.0933727
2.96988e+06 0.102607
2.97182e+06 0.0965477
2.8894e+06 0.0996424
2.93542e+06 0.100084
3.01102e+06 0.0920074
3.00861e+06 0.0977549
2.9502e+06 0.102651
3.07356e+06 0.0997048
3.00194e+06 0.0988423
2.85483e+06 0.104452
3.00534e+06 0.0958634
2.83171e+06 0.104835
2.99627e+06 0.098722
3.06131e+06 0.0960578
2.87397e+06 0.104855
2.85605e+06 0.101362
2.92185e+06 0.0977364
2.91689e+06 0.103168
2.85356e+06 0.106638
2.90904e+06 0.0989896
2.98203e+06 0.0926835
3.0384e+06 0.0876109
2.99046e+06 0.0985629
3.08499e+06 0.095254
2.92907e+06 0.0958634
3.12968e+06 0.0881271
3.19522e+06 0.0906538
2.89857e+06 0.100321
2.98081e+06 0.0996244
2.79669e+06 0.103611
2.9425e+06 0.0962894
3.1567e+06 0.0932168
3.12408e+06 0.0931929
3.04115e+06 0.0956423
