TotalCosts RejectionRate 
6.13957e+06 0.849756
3.0597e+06 0.749655
3.03679e+06 0.551039
2.93864e+06 0.395445
2.75272e+06 0.243416
2.59546e+06 0.153337
2.37627e+06 0.104897
2.26275e+06 0.0922769
2.12605e+06 0.0782508
2.15676e+06 0.0686691
2.10988e+06 0.0667318
2.05151e+06 0.064321
2.02768e+06 0.0636375
1.9976e+06 0.0579122
2.01894e+06 0.058373
1.97379e+06 0.0526273
1.98573e+06 0.0561012
1.94134e+06 0.0536699
2.01964e+06 0.047383
1.97892e+06 0.05556
1.90658e+06 0.0558213
1.93743e+06 0.0535791
1.90976e+06 0.0546799
1.89921e+06 0.0550395
1.86049e+06 0.0572618
2.01128e+06 0.04836
1.9869e+06 0.0576578
1.8976e+06 0.0524815
1.94528e+06 0.0453185
1.90952e+06 0.0473017
1.92531e+06 0.0476526
1.92445e+06 0.0449854
1.84033e+06 0.0528629
1.86267e+06 0.0530034
1.85092e+06 0.0530258
1.93506e+06 0.0524626
1.88917e+06 0.0526381
1.86504e+06 0.0532554
1.95957e+06 0.0494597
1.95352e+06 0.0486679
1.89558e+06 0.0543908
1.92202e+06 0.046592
1.96456e+06 0.0470727
1.80539e+06 0.0547727
1.88735e+06 0.0509768
1.81969e+06 0.0551843
1.9037e+06 0.0512346
1.89082e+06 0.0466591
1.84571e+06 0.0477579
1.93656e+06 0.0492339
1.93869e+06 0.0452568
1.99371e+06 0.0455629
1.96954e+06 0.0522797
1.87877e+06 0.0459335
1.88508e+06 0.0493117
1.87757e+06 0.0539199
1.85086e+06 0.0479444
1.92264e+06 0.0406647
1.84892e+06 0.0533571
1.80565e+06 0.0508928
1.83279e+06 0.0552899
1.86446e+06 0.0527037
1.85738e+06 0.0461594
1.85904e+06 0.0462483
1.91225e+06 0.0495813
1.75817e+06 0.0593449
1.8718e+06 0.0476309
1.8189e+06 0.0514081
1.81821e+06 0.0512825
1.84204e+06 0.0510791
1.85894e+06 0.0505525
1.86154e+06 0.0447243
1.78552e+06 0.0593661
1.89595e+06 0.0511014
1.87306e+06 0.0494329
1.80624e+06 0.0479829
1.93026e+06 0.0441796
1.8778e+06 0.0430346
1.86686e+06 0.0495333
1.83695e+06 0.0535684
