TotalCosts RejectionRate 
1.03229e+07 0.895499
5.64159e+06 0.815767
5.52226e+06 0.63807
5.38537e+06 0.546924
5.32646e+06 0.490215
5.23571e+06 0.400746
5.037e+06 0.293365
4.9437e+06 0.224968
4.86699e+06 0.185168
4.70988e+06 0.159442
4.52752e+06 0.134146
4.33167e+06 0.116714
4.29271e+06 0.104635
4.27757e+06 0.0982886
4.34166e+06 0.0875876
4.13571e+06 0.0884276
4.20034e+06 0.0821291
3.98441e+06 0.0829738
4.19785e+06 0.0795504
4.16001e+06 0.0743924
3.98411e+06 0.0782763
4.1851e+06 0.0754534
4.14406e+06 0.0741204
3.8892e+06 0.0764559
4.09657e+06 0.0741219
4.18896e+06 0.0743064
4.20675e+06 0.0719729
4.01043e+06 0.0753503
4.10806e+06 0.0696104
4.00269e+06 0.0782402
4.00436e+06 0.0760835
4.07832e+06 0.0740322
4.01084e+06 0.077199
3.86599e+06 0.0775875
4.00955e+06 0.0749314
4.0848e+06 0.0736499
3.88303e+06 0.0782334
3.96759e+06 0.0774806
4.16927e+06 0.0741764
3.89647e+06 0.0784901
4.1775e+06 0.0720085
4.08009e+06 0.0765439
4.07607e+06 0.0790768
4.28561e+06 0.0721448
4.08663e+06 0.0752106
4.18913e+06 0.0748086
4.09577e+06 0.0784591
4.00999e+06 0.0773753
4.11386e+06 0.0783858
4.02298e+06 0.0815793
4.22425e+06 0.0719
4.0994e+06 0.079599
4.11098e+06 0.0763885
4.18295e+06 0.0760947
4.07726e+06 0.0761494
4.18955e+06 0.0751431
4.16458e+06 0.0742175
4.01574e+06 0.0835421
4.11344e+06 0.0825074
4.15332e+06 0.0789067
4.20915e+06 0.0736417
4.09737e+06 0.0763838
3.99635e+06 0.0743965
4.05414e+06 0.0787786
4.07788e+06 0.0767851
4.02893e+06 0.0795952
4.05095e+06 0.0757818
4.32801e+06 0.0690738
4.05854e+06 0.0794711
4.25854e+06 0.0757555
4.13063e+06 0.0725454
4.24507e+06 0.074997
4.24546e+06 0.0812716
4.03568e+06 0.0796472
4.0601e+06 0.078929
3.95782e+06 0.0817599
4.05831e+06 0.0796704
4.30533e+06 0.0741435
4.12492e+06 0.0763022
4.16611e+06 0.0726353
